agent_id,model_name,action,count,avg_count_per_run,avg_frequency_per_run,n_runs
agent_1,gemma4:e4b,ATTEMPT_JOB,150.0,30.0,1.0,5
agent_1,gemma4:e4b,DONATE,0.0,0.0,0.0,5
agent_1,gemma4:e4b,IDLE,0.0,0.0,0.0,5
agent_1,gemma4:e4b,INACTIVE,0.0,0.0,0.0,5
agent_2,nemotron-3-nano:4b,ATTEMPT_JOB,147.0,29.4,0.9800000000000001,5
agent_2,nemotron-3-nano:4b,DONATE,1.0,0.2,0.006666666666666666,5
agent_2,nemotron-3-nano:4b,IDLE,2.0,0.4,0.013333333333333332,5
agent_2,nemotron-3-nano:4b,INACTIVE,0.0,0.0,0.0,5
agent_3,qwen3.5:4b,ATTEMPT_JOB,150.0,30.0,1.0,5
agent_3,qwen3.5:4b,DONATE,0.0,0.0,0.0,5
agent_3,qwen3.5:4b,IDLE,0.0,0.0,0.0,5
agent_3,qwen3.5:4b,INACTIVE,0.0,0.0,0.0,5
agent_4,qwen3:8b,ATTEMPT_JOB,137.0,27.4,1.0,5
agent_4,qwen3:8b,DONATE,0.0,0.0,0.0,5
agent_4,qwen3:8b,IDLE,0.0,0.0,0.0,5
agent_4,qwen3:8b,INACTIVE,0.0,0.0,0.0,5
agent_5,qwen3.5:9b,ATTEMPT_JOB,77.0,15.4,0.9292307692307691,5
agent_5,qwen3.5:9b,DONATE,0.0,0.0,0.0,5
agent_5,qwen3.5:9b,IDLE,5.0,1.0,0.055384615384615386,5
agent_5,qwen3.5:9b,INACTIVE,1.0,0.2,0.015384615384615385,5
