agent_id,model_name,action,count,avg_count_per_run,avg_frequency_per_run,n_runs
agent_1,gemma4:e4b,ATTEMPT_JOB,150.0,30.0,1.0,5
agent_1,gemma4:e4b,DONATE,0.0,0.0,0.0,5
agent_1,gemma4:e4b,ERROR,0.0,0.0,0.0,5
agent_1,gemma4:e4b,IDLE,0.0,0.0,0.0,5
agent_1,gemma4:e4b,INACTIVE,0.0,0.0,0.0,5
agent_2,nemotron-3-nano:4b,ATTEMPT_JOB,146.0,29.2,0.9733333333333334,5
agent_2,nemotron-3-nano:4b,DONATE,1.0,0.2,0.006666666666666666,5
agent_2,nemotron-3-nano:4b,ERROR,2.0,0.4,0.013333333333333332,5
agent_2,nemotron-3-nano:4b,IDLE,1.0,0.2,0.006666666666666666,5
agent_2,nemotron-3-nano:4b,INACTIVE,0.0,0.0,0.0,5
agent_3,qwen3.5:4b,ATTEMPT_JOB,150.0,30.0,1.0,5
agent_3,qwen3.5:4b,DONATE,0.0,0.0,0.0,5
agent_3,qwen3.5:4b,ERROR,0.0,0.0,0.0,5
agent_3,qwen3.5:4b,IDLE,0.0,0.0,0.0,5
agent_3,qwen3.5:4b,INACTIVE,0.0,0.0,0.0,5
agent_4,qwen3:8b,ATTEMPT_JOB,137.0,27.4,1.0,5
agent_4,qwen3:8b,DONATE,0.0,0.0,0.0,5
agent_4,qwen3:8b,ERROR,0.0,0.0,0.0,5
agent_4,qwen3:8b,IDLE,0.0,0.0,0.0,5
agent_4,qwen3:8b,INACTIVE,0.0,0.0,0.0,5
agent_5,qwen3.5:9b,ATTEMPT_JOB,76.0,15.2,0.9092307692307692,5
agent_5,qwen3.5:9b,DONATE,0.0,0.0,0.0,5
agent_5,qwen3.5:9b,ERROR,4.0,0.8,0.04,5
agent_5,qwen3.5:9b,IDLE,2.0,0.4,0.03538461538461539,5
agent_5,qwen3.5:9b,INACTIVE,1.0,0.2,0.015384615384615385,5
