agent_id,model_name,job_difficulty,attempted,succeeded,success_rate_pooled,avg_success_rate_per_run,std_success_rate_per_run,n_runs_with_attempt
agent_1,gemma4:e4b,easy,19,16,0.8421052631578947,0.8866666666666667,0.10434983894999017,5
agent_1,gemma4:e4b,hard,50,6,0.12,0.09437229437229437,0.09673411782972306,5
agent_1,gemma4:e4b,medium,81,37,0.4567901234567901,0.45189393939393946,0.12589624874238045,5
agent_2,nemotron-3-nano:4b,easy,73,43,0.589041095890411,0.5786764705882353,0.11130188454507935,5
agent_2,nemotron-3-nano:4b,hard,31,11,0.3548387096774194,0.3395238095238095,0.25856967464107417,5
agent_2,nemotron-3-nano:4b,medium,43,17,0.3953488372093023,0.33444444444444443,0.30808047689997103,5
agent_3,qwen3.5:4b,easy,94,72,0.7659574468085106,0.7441754385964912,0.13463197216335138,5
agent_3,qwen3.5:4b,hard,3,1,0.3333333333333333,0.25,0.3535533905932738,2
agent_3,qwen3.5:4b,medium,53,29,0.5471698113207547,0.5276923076923077,0.13004323359387174,5
agent_4,qwen3:8b,easy,12,12,1.0,1.0,0.0,4
agent_4,qwen3:8b,hard,46,12,0.2608695652173913,0.21386554621848738,0.1639968709327858,5
agent_4,qwen3:8b,medium,79,43,0.5443037974683544,0.5130409356725146,0.2089783898946824,5
agent_5,qwen3.5:9b,easy,54,40,0.7407407407407407,0.6944444444444444,0.2395581709813936,5
agent_5,qwen3.5:9b,hard,2,0,0.0,0.0,0.0,2
agent_5,qwen3.5:9b,medium,21,12,0.5714285714285714,0.34285714285714286,0.34568936024536256,5
