voter_agent_id,voter_model_name,target_type,recommended_action,total_recommendations,strict_followed,action_only_followed,strict_follow_rate,action_only_follow_rate
agent_1,gemma4:e4b,other,ATTEMPT_JOB,580,229,569,0.39482758620689656,0.9810344827586207
agent_1,gemma4:e4b,other,IDLE,24,2,2,0.08333333333333333,0.08333333333333333
agent_1,gemma4:e4b,self,ATTEMPT_JOB,151,101,148,0.6688741721854304,0.9801324503311258
agent_2,nemotron-3-nano:4b,other,ATTEMPT_JOB,375,75,370,0.2,0.9866666666666667
agent_2,nemotron-3-nano:4b,other,DONATE,1,0,0,0.0,0.0
agent_2,nemotron-3-nano:4b,other,IDLE,178,1,1,0.0056179775280898875,0.0056179775280898875
agent_2,nemotron-3-nano:4b,self,ATTEMPT_JOB,118,51,114,0.4322033898305085,0.9661016949152542
agent_2,nemotron-3-nano:4b,self,DONATE,1,0,0,0.0,0.0
agent_2,nemotron-3-nano:4b,self,IDLE,21,3,3,0.14285714285714285,0.14285714285714285
agent_3,qwen3.5:4b,other,ATTEMPT_JOB,553,138,541,0.24954792043399637,0.9783001808318263
agent_3,qwen3.5:4b,other,DONATE,1,0,0,0.0,0.0
agent_3,qwen3.5:4b,other,IDLE,40,3,3,0.075,0.075
agent_3,qwen3.5:4b,self,ATTEMPT_JOB,147,62,146,0.4217687074829932,0.9931972789115646
agent_3,qwen3.5:4b,self,DONATE,3,0,0,0.0,0.0
agent_4,qwen3:8b,other,ATTEMPT_JOB,568,119,553,0.20950704225352113,0.9735915492957746
agent_4,qwen3:8b,other,IDLE,24,1,1,0.041666666666666664,0.041666666666666664
agent_4,qwen3:8b,self,ATTEMPT_JOB,147,87,147,0.5918367346938775,1.0
agent_4,qwen3:8b,self,DONATE,1,0,0,0.0,0.0
agent_5,qwen3.5:9b,other,ATTEMPT_JOB,524,113,512,0.21564885496183206,0.9770992366412213
agent_5,qwen3.5:9b,other,DONATE,1,0,0,0.0,0.0
agent_5,qwen3.5:9b,other,IDLE,23,1,1,0.043478260869565216,0.043478260869565216
agent_5,qwen3.5:9b,self,ATTEMPT_JOB,137,55,134,0.40145985401459855,0.9781021897810219
