agent_id,model_name,job_difficulty,attempted,succeeded,success_rate_pooled,avg_success_rate_per_run,std_success_rate_per_run,n_runs_with_attempt
agent_1,gemma4:e4b,easy,10,8,0.8,0.75,0.4330127018922193,5
agent_1,gemma4:e4b,hard,69,14,0.2028985507246377,0.18606981254040078,0.1047929521985732,5
agent_1,gemma4:e4b,medium,68,36,0.5294117647058824,0.5129411764705882,0.15181437167779221,5
agent_2,nemotron-3-nano:4b,easy,50,36,0.72,0.719017094017094,0.061084582730439346,5
agent_2,nemotron-3-nano:4b,hard,27,4,0.14814814814814814,0.16499999999999998,0.12081896466292955,5
agent_2,nemotron-3-nano:4b,medium,64,18,0.28125,0.2835897435897436,0.08622194014209604,5
agent_3,qwen3.5:4b,easy,44,33,0.75,0.6937451437451438,0.2109292190033516,5
agent_3,qwen3.5:4b,hard,44,11,0.25,0.20666666666666664,0.14621451640400224,5
agent_3,qwen3.5:4b,medium,61,37,0.6065573770491803,0.6155400155400155,0.17694424952454255,5
agent_4,qwen3:8b,easy,14,13,0.9285714285714286,0.9696969696969697,0.05248638810814783,3
agent_4,qwen3:8b,hard,104,28,0.2692307692307692,0.236289592760181,0.13858386339374767,5
agent_4,qwen3:8b,medium,32,20,0.625,0.6467948717948718,0.23592443407377478,5
agent_5,qwen3.5:9b,easy,61,49,0.8032786885245902,0.8065297860034703,0.06949835295989935,5
agent_5,qwen3.5:9b,hard,35,15,0.42857142857142855,0.33905228758169936,0.22895066597441036,4
agent_5,qwen3.5:9b,medium,51,32,0.6274509803921569,0.5594304388422036,0.18797239548937925,5
