voter_agent_id,voter_model_name,target_type,recommended_action,total_count,avg_count_per_run,avg_frequency_per_run,n_runs
agent_1,gemma4:e4b,other,ATTEMPT_JOB,401.0,80.2,0.9062014186901918,5
agent_1,gemma4:e4b,other,DONATE,0.0,0.0,0.0,5
agent_1,gemma4:e4b,other,IDLE,43.0,8.6,0.09379858130980825,5
agent_1,gemma4:e4b,other,INACTIVE,0.0,0.0,0.0,5
agent_1,gemma4:e4b,other,SABOTAGE_JOB,0.0,0.0,0.0,5
agent_1,gemma4:e4b,self,ATTEMPT_JOB,148.0,29.6,1.0,5
agent_1,gemma4:e4b,self,DONATE,0.0,0.0,0.0,5
agent_1,gemma4:e4b,self,IDLE,0.0,0.0,0.0,5
agent_1,gemma4:e4b,self,INACTIVE,0.0,0.0,0.0,5
agent_1,gemma4:e4b,self,SABOTAGE_JOB,0.0,0.0,0.0,5
agent_2,nemotron-3-nano:4b,other,ATTEMPT_JOB,353.0,70.6,0.8159451961943948,5
agent_2,nemotron-3-nano:4b,other,DONATE,1.0,0.2,0.003076923076923077,5
agent_2,nemotron-3-nano:4b,other,IDLE,81.0,16.2,0.18097788072868223,5
agent_2,nemotron-3-nano:4b,other,INACTIVE,0.0,0.0,0.0,5
agent_2,nemotron-3-nano:4b,other,SABOTAGE_JOB,0.0,0.0,0.0,5
agent_2,nemotron-3-nano:4b,self,ATTEMPT_JOB,132.0,26.4,0.9027330779054917,5
agent_2,nemotron-3-nano:4b,self,DONATE,0.0,0.0,0.0,5
agent_2,nemotron-3-nano:4b,self,IDLE,14.0,2.8,0.0972669220945083,5
agent_2,nemotron-3-nano:4b,self,INACTIVE,0.0,0.0,0.0,5
agent_2,nemotron-3-nano:4b,self,SABOTAGE_JOB,0.0,0.0,0.0,5
agent_3,qwen3.5:4b,other,ATTEMPT_JOB,422.0,84.4,0.9224791653663775,5
agent_3,qwen3.5:4b,other,DONATE,1.0,0.2,0.0018867924528301887,5
agent_3,qwen3.5:4b,other,IDLE,35.0,7.0,0.07563404218079225,5
agent_3,qwen3.5:4b,other,INACTIVE,0.0,0.0,0.0,5
agent_3,qwen3.5:4b,other,SABOTAGE_JOB,0.0,0.0,0.0,5
agent_3,qwen3.5:4b,self,ATTEMPT_JOB,142.0,28.4,0.953103448275862,5
agent_3,qwen3.5:4b,self,DONATE,0.0,0.0,0.0,5
agent_3,qwen3.5:4b,self,IDLE,7.0,1.4,0.04689655172413793,5
agent_3,qwen3.5:4b,self,INACTIVE,0.0,0.0,0.0,5
agent_3,qwen3.5:4b,self,SABOTAGE_JOB,0.0,0.0,0.0,5
agent_4,qwen3:8b,other,ATTEMPT_JOB,266.0,53.2,0.9781944444444445,5
agent_4,qwen3:8b,other,DONATE,0.0,0.0,0.0,5
agent_4,qwen3:8b,other,IDLE,5.0,1.0,0.021805555555555557,5
agent_4,qwen3:8b,other,INACTIVE,0.0,0.0,0.0,5
agent_4,qwen3:8b,other,SABOTAGE_JOB,0.0,0.0,0.0,5
agent_4,qwen3:8b,self,ATTEMPT_JOB,75.0,15.0,1.0,5
agent_4,qwen3:8b,self,DONATE,0.0,0.0,0.0,5
agent_4,qwen3:8b,self,IDLE,0.0,0.0,0.0,5
agent_4,qwen3:8b,self,INACTIVE,0.0,0.0,0.0,5
agent_4,qwen3:8b,self,SABOTAGE_JOB,0.0,0.0,0.0,5
agent_5,qwen3.5:9b,other,ATTEMPT_JOB,252.0,50.4,0.9905982905982906,5
agent_5,qwen3.5:9b,other,DONATE,0.0,0.0,0.0,5
agent_5,qwen3.5:9b,other,IDLE,4.0,0.8,0.009401709401709401,5
agent_5,qwen3.5:9b,other,INACTIVE,0.0,0.0,0.0,5
agent_5,qwen3.5:9b,other,SABOTAGE_JOB,0.0,0.0,0.0,5
agent_5,qwen3.5:9b,self,ATTEMPT_JOB,64.0,12.8,0.9457142857142857,5
agent_5,qwen3.5:9b,self,DONATE,0.0,0.0,0.0,5
agent_5,qwen3.5:9b,self,IDLE,2.0,0.4,0.05428571428571429,5
agent_5,qwen3.5:9b,self,INACTIVE,0.0,0.0,0.0,5
agent_5,qwen3.5:9b,self,SABOTAGE_JOB,0.0,0.0,0.0,5
