voter_agent_id,voter_model_name,target_type,recommended_action,total_recommendations,strict_followed,action_only_followed,strict_follow_rate,action_only_follow_rate
agent_1,gemma4:e4b,other,ATTEMPT_JOB,401,154,396,0.38403990024937656,0.9875311720698254
agent_1,gemma4:e4b,other,IDLE,39,3,3,0.07692307692307693,0.07692307692307693
agent_1,gemma4:e4b,self,ATTEMPT_JOB,148,94,146,0.6351351351351351,0.9864864864864865
agent_2,nemotron-3-nano:4b,other,ATTEMPT_JOB,349,69,345,0.1977077363896848,0.9885386819484241
agent_2,nemotron-3-nano:4b,other,DONATE,1,0,0,0.0,0.0
agent_2,nemotron-3-nano:4b,other,IDLE,79,2,2,0.02531645569620253,0.02531645569620253
agent_2,nemotron-3-nano:4b,self,ATTEMPT_JOB,132,74,128,0.5606060606060606,0.9696969696969697
agent_2,nemotron-3-nano:4b,self,IDLE,14,0,0,0.0,0.0
agent_3,qwen3.5:4b,other,ATTEMPT_JOB,417,75,412,0.17985611510791366,0.988009592326139
agent_3,qwen3.5:4b,other,IDLE,23,3,3,0.13043478260869565,0.13043478260869565
agent_3,qwen3.5:4b,self,ATTEMPT_JOB,142,73,141,0.5140845070422535,0.9929577464788732
agent_3,qwen3.5:4b,self,IDLE,7,1,1,0.14285714285714285,0.14285714285714285
agent_4,qwen3:8b,other,ATTEMPT_JOB,266,45,261,0.16917293233082706,0.981203007518797
agent_4,qwen3:8b,other,IDLE,4,0,0,0.0,0.0
agent_4,qwen3:8b,self,ATTEMPT_JOB,73,45,72,0.6164383561643836,0.9863013698630136
agent_5,qwen3.5:9b,other,ATTEMPT_JOB,244,40,239,0.16393442622950818,0.9795081967213115
agent_5,qwen3.5:9b,other,IDLE,1,0,0,0.0,0.0
agent_5,qwen3.5:9b,self,ATTEMPT_JOB,64,23,63,0.359375,0.984375
agent_5,qwen3.5:9b,self,IDLE,1,0,0,0.0,0.0
