agent_id,model_name,job_difficulty,attempted,succeeded,success_rate_pooled,avg_success_rate_per_run,std_success_rate_per_run,n_runs_with_attempt
agent_1,gemma4:e4b,easy,3,2,0.6666666666666666,0.6666666666666666,0.5773502691896258,3
agent_1,gemma4:e4b,hard,129,31,0.24031007751937986,0.23431368631368626,0.09657191581415915,5
agent_1,gemma4:e4b,medium,14,8,0.5714285714285714,0.6166666666666666,0.2608745973749755,5
agent_2,nemotron-3-nano:4b,easy,26,16,0.6153846153846154,0.5933333333333334,0.1801234144814173,5
agent_2,nemotron-3-nano:4b,hard,82,17,0.2073170731707317,0.1810357444413172,0.11492732893700476,5
agent_2,nemotron-3-nano:4b,medium,38,17,0.4473684210526316,0.44772727272727275,0.10069489962216234,5
agent_3,qwen3.5:4b,easy,42,30,0.7142857142857143,0.6795238095238095,0.1968833120118433,5
agent_3,qwen3.5:4b,hard,57,11,0.19298245614035087,0.1521062271062271,0.09703741086402282,5
agent_3,qwen3.5:4b,medium,48,26,0.5416666666666666,0.5890909090909091,0.23796659255776578,5
agent_4,qwen3:8b,easy,11,10,0.9090909090909091,0.9375,0.125,4
agent_4,qwen3:8b,hard,50,14,0.28,0.19166666666666665,0.18066236157232332,5
agent_4,qwen3:8b,medium,15,12,0.8,0.7142857142857143,0.25421614885788835,4
agent_5,qwen3.5:9b,easy,20,14,0.7,0.46923076923076923,0.3021128751793151,5
agent_5,qwen3.5:9b,hard,11,2,0.18181818181818182,0.125,0.25,4
agent_5,qwen3.5:9b,medium,35,21,0.6,0.4811188811188812,0.2912463584201059,5
