agent_id,model_name,job_difficulty,count,avg_count_per_run,std_count_per_run,avg_frequency_per_run,n_runs
agent_1,gemma4:e4b,easy,9.0,1.8,0.8366600265340756,0.06164203612479474,5
agent_1,gemma4:e4b,hard,87.0,17.4,7.700649323271382,0.5861083743842365,5
agent_1,gemma4:e4b,medium,51.0,10.2,6.260990336999411,0.35224958949096885,5
agent_2,nemotron-3-nano:4b,easy,39.0,7.8,3.1144823004794873,0.2751231527093596,5
agent_2,nemotron-3-nano:4b,hard,49.0,9.8,4.494441010848846,0.3460591133004926,5
agent_2,nemotron-3-nano:4b,medium,54.0,10.8,4.604345773288536,0.3788177339901478,5
agent_3,qwen3.5:4b,easy,64.0,12.8,9.011104260855047,0.44290640394088665,5
agent_3,qwen3.5:4b,hard,31.0,6.2,5.495452665613635,0.2089655172413793,5
agent_3,qwen3.5:4b,medium,51.0,10.2,5.630275304103699,0.348128078817734,5
agent_4,qwen3:8b,easy,4.0,0.8,0.4472135954999579,0.08827264239028945,5
agent_4,qwen3:8b,hard,26.0,5.2,3.8987177379235853,0.4883846872082166,5
agent_4,qwen3:8b,medium,20.0,4.0,3.082207001484488,0.4233426704014939,5
agent_5,qwen3.5:9b,easy,19.0,3.8,1.3038404810405297,0.6300000000000001,5
agent_5,qwen3.5:9b,hard,5.0,1.0,1.4142135623730951,0.13,5
agent_5,qwen3.5:9b,medium,9.0,1.8,1.7888543819998317,0.24,5
