voter_agent_id,voter_model_name,target_type,recommended_action,total_recommendations,strict_followed,action_only_followed,strict_follow_rate,action_only_follow_rate
agent_1,gemma4:e4b,other,ATTEMPT_JOB,368,143,355,0.38858695652173914,0.9646739130434783
agent_1,gemma4:e4b,other,IDLE,25,2,2,0.08,0.08
agent_1,gemma4:e4b,self,ATTEMPT_JOB,149,100,146,0.6711409395973155,0.9798657718120806
agent_1,gemma4:e4b,self,IDLE,2,0,0,0.0,0.0
agent_2,nemotron-3-nano:4b,other,ATTEMPT_JOB,270,51,265,0.18888888888888888,0.9814814814814815
agent_2,nemotron-3-nano:4b,other,IDLE,98,3,3,0.030612244897959183,0.030612244897959183
agent_2,nemotron-3-nano:4b,other,SABOTAGE_JOB,2,0,0,0.0,0.0
agent_2,nemotron-3-nano:4b,self,ATTEMPT_JOB,121,60,117,0.49586776859504134,0.9669421487603306
agent_2,nemotron-3-nano:4b,self,DONATE,3,0,0,0.0,0.0
agent_2,nemotron-3-nano:4b,self,IDLE,21,4,4,0.19047619047619047,0.19047619047619047
agent_3,qwen3.5:4b,other,ATTEMPT_JOB,361,105,347,0.29085872576177285,0.961218836565097
agent_3,qwen3.5:4b,other,DONATE,1,0,0,0.0,0.0
agent_3,qwen3.5:4b,other,IDLE,27,4,4,0.14814814814814814,0.14814814814814814
agent_3,qwen3.5:4b,self,ATTEMPT_JOB,141,73,140,0.5177304964539007,0.9929078014184397
agent_3,qwen3.5:4b,self,IDLE,10,0,0,0.0,0.0
agent_4,qwen3:8b,other,ATTEMPT_JOB,190,39,181,0.20526315789473684,0.9526315789473684
agent_4,qwen3:8b,other,IDLE,8,1,1,0.125,0.125
agent_4,qwen3:8b,other,SABOTAGE_JOB,2,0,0,0.0,0.0
agent_4,qwen3:8b,self,ATTEMPT_JOB,49,31,48,0.6326530612244898,0.9795918367346939
agent_4,qwen3:8b,self,SABOTAGE_JOB,5,0,4,0.0,0.8
agent_5,qwen3.5:9b,other,ATTEMPT_JOB,112,16,107,0.14285714285714285,0.9553571428571429
agent_5,qwen3.5:9b,other,IDLE,5,0,0,0.0,0.0
agent_5,qwen3.5:9b,self,ATTEMPT_JOB,28,10,26,0.35714285714285715,0.9285714285714286
agent_5,qwen3.5:9b,self,IDLE,2,1,1,0.5,0.5
