agent_id,model_name,job_difficulty,count,avg_count_per_run,std_count_per_run,avg_frequency_per_run,n_runs
agent_1,gemma4:e4b,easy,13.0,2.6,2.8809720581775866,0.08804597701149425,5
agent_1,gemma4:e4b,hard,90.0,18.0,6.284902544988268,0.6114942528735632,5
agent_1,gemma4:e4b,medium,44.0,8.8,4.207136793592526,0.3004597701149425,5
agent_2,nemotron-3-nano:4b,easy,42.0,8.4,2.8809720581775866,0.2857471264367816,5
agent_2,nemotron-3-nano:4b,hard,32.0,6.4,4.878524367060187,0.21862068965517242,5
agent_2,nemotron-3-nano:4b,medium,73.0,14.6,3.361547262794322,0.4956321839080459,5
agent_3,qwen3.5:4b,easy,68.0,13.6,4.8270073544588685,0.4533333333333333,5
agent_3,qwen3.5:4b,hard,16.0,3.2,2.04939015319192,0.10666666666666666,5
agent_3,qwen3.5:4b,medium,66.0,13.2,3.63318042491699,0.44000000000000006,5
agent_4,qwen3:8b,easy,6.0,1.2,0.4472135954999579,0.2092929292929293,5
agent_4,qwen3:8b,hard,28.0,5.6,4.722287581247038,0.5969696969696969,5
agent_4,qwen3:8b,medium,9.0,1.8,2.16794833886788,0.19373737373737374,5
agent_5,qwen3.5:9b,easy,21.0,4.2,2.16794833886788,0.5729076479076479,5
agent_5,qwen3.5:9b,hard,6.0,1.2,1.0954451150103321,0.13033910533910534,5
agent_5,qwen3.5:9b,medium,11.0,2.2,2.16794833886788,0.2967532467532467,5
