voter_agent_id,voter_model_name,target_type,recommended_action,enacted_recommendations,avg_actual_net_energy,total_actual_net_energy
agent_1,gemma4:e4b,other,ATTEMPT_JOB,172,-12.857616279069767,-2211.5099999999998
agent_1,gemma4:e4b,other,IDLE,6,-178.88833333333332,-1073.33
agent_1,gemma4:e4b,self,ATTEMPT_JOB,90,60.45977777777778,5441.38
agent_1,gemma4:e4b,self,IDLE,1,-128.95,-128.95
agent_2,nemotron-3-nano:4b,other,ATTEMPT_JOB,83,29.32060240963855,2433.6099999999997
agent_2,nemotron-3-nano:4b,other,IDLE,7,-193.51571428571427,-1354.61
agent_2,nemotron-3-nano:4b,self,ATTEMPT_JOB,67,43.6723880597015,2926.05
agent_2,nemotron-3-nano:4b,self,IDLE,1,-59.77,-59.77
agent_3,qwen3.5:4b,other,ATTEMPT_JOB,131,17.04267175572519,2232.59
agent_3,qwen3.5:4b,other,IDLE,5,-125.928,-629.64
agent_3,qwen3.5:4b,self,ATTEMPT_JOB,72,35.458194444444445,2552.99
agent_4,qwen3:8b,other,ATTEMPT_JOB,50,52.68160000000001,2634.0800000000004
agent_4,qwen3:8b,self,ATTEMPT_JOB,28,-145.05785714285713,-4061.62
agent_5,qwen3.5:9b,other,ATTEMPT_JOB,38,25.021315789473682,950.81
agent_5,qwen3.5:9b,self,ATTEMPT_JOB,11,-228.14272727272726,-2509.5699999999997
