agent_id,model_name,job_difficulty,attempted,succeeded,success_rate_pooled,avg_success_rate_per_run,std_success_rate_per_run,n_runs_with_attempt
agent_1,gemma4:e4b,easy,13,12,0.9230769230769231,0.9523809523809524,0.08247860988423228,3
agent_1,gemma4:e4b,hard,90,24,0.26666666666666666,0.25441786474395167,0.07012969888822591,5
agent_1,gemma4:e4b,medium,44,16,0.36363636363636365,0.38555555555555554,0.2584259093382162,5
agent_2,nemotron-3-nano:4b,easy,42,22,0.5238095238095238,0.5325974025974026,0.22625113625595145,5
agent_2,nemotron-3-nano:4b,hard,32,6,0.1875,0.14333333333333334,0.1331248369847724,5
agent_2,nemotron-3-nano:4b,medium,73,25,0.3424657534246575,0.341197705802969,0.12388947895312806,5
agent_3,qwen3.5:4b,easy,68,51,0.75,0.7593706293706294,0.08127486810831358,5
agent_3,qwen3.5:4b,hard,16,1,0.0625,0.04,0.0894427190999916,5
agent_3,qwen3.5:4b,medium,66,27,0.4090909090909091,0.41302197802197804,0.05759630654390405,5
agent_4,qwen3:8b,easy,6,4,0.6666666666666666,0.8,0.4472135954999579,5
agent_4,qwen3:8b,hard,28,7,0.25,0.12777777777777777,0.1879880479520959,5
agent_4,qwen3:8b,medium,9,6,0.6666666666666666,0.7999999999999999,0.3464101615137755,3
agent_5,qwen3.5:9b,easy,21,19,0.9047619047619048,0.8714285714285713,0.2166535841157586,5
agent_5,qwen3.5:9b,hard,6,2,0.3333333333333333,0.3333333333333333,0.4714045207910317,4
agent_5,qwen3.5:9b,medium,11,7,0.6363636363636364,0.4666666666666667,0.46248123085038695,5
