voter_agent_id,voter_model_name,target_type,recommended_action,enacted_recommendations,avg_actual_net_energy,total_actual_net_energy
agent_1,gemma4:e4b,other,ATTEMPT_JOB,120,-50.85516666666667,-6102.62
agent_1,gemma4:e4b,other,DONATE,1,-397.49,-397.49
agent_1,gemma4:e4b,other,IDLE,6,-185.31166666666664,-1111.87
agent_1,gemma4:e4b,self,ATTEMPT_JOB,54,63.63925925925926,3436.52
agent_1,gemma4:e4b,self,DONATE,9,-340.27666666666664,-3062.49
agent_2,nemotron-3-nano:4b,other,ATTEMPT_JOB,74,94.88513513513513,7021.5
agent_2,nemotron-3-nano:4b,other,DONATE,3,-305.06666666666666,-915.2
agent_2,nemotron-3-nano:4b,other,IDLE,5,-156.32999999999998,-781.65
agent_2,nemotron-3-nano:4b,self,ATTEMPT_JOB,61,-14.125245901639344,-861.64
agent_3,qwen3.5:4b,other,ATTEMPT_JOB,95,-7.09473684210526,-673.9999999999998
agent_3,qwen3.5:4b,other,DONATE,6,-267.1166666666666,-1602.6999999999998
agent_3,qwen3.5:4b,other,IDLE,3,-141.45000000000002,-424.35
agent_3,qwen3.5:4b,self,ATTEMPT_JOB,46,-12.387173913043478,-569.81
agent_3,qwen3.5:4b,self,DONATE,2,-761.025,-1522.05
agent_4,qwen3:8b,other,ATTEMPT_JOB,75,6.1616000000000035,462.12000000000023
agent_4,qwen3:8b,other,IDLE,1,-118.74,-118.74
agent_4,qwen3:8b,self,ATTEMPT_JOB,29,-180.8437931034483,-5244.47
agent_4,qwen3:8b,self,DONATE,5,-370.5,-1852.5
agent_4,qwen3:8b,self,IDLE,1,-187.09,-187.09
agent_5,qwen3.5:9b,other,ATTEMPT_JOB,57,-2.182631578947368,-124.40999999999997
agent_5,qwen3.5:9b,other,DONATE,2,-267.975,-535.95
agent_5,qwen3.5:9b,other,IDLE,1,-94.45,-94.45
agent_5,qwen3.5:9b,self,ATTEMPT_JOB,6,-273.51500000000004,-1641.0900000000001
agent_5,qwen3.5:9b,self,IDLE,2,-164.37,-328.74
