voter_agent_id,voter_model_name,target_type,recommended_action,total_recommendations,strict_followed,action_only_followed,strict_follow_rate,action_only_follow_rate
agent_1,gemma4:e4b,other,ATTEMPT_JOB,347,120,310,0.345821325648415,0.8933717579250721
agent_1,gemma4:e4b,other,DONATE,11,1,2,0.09090909090909091,0.18181818181818182
agent_1,gemma4:e4b,other,IDLE,24,6,6,0.25,0.25
agent_1,gemma4:e4b,self,ATTEMPT_JOB,109,54,82,0.4954128440366973,0.7522935779816514
agent_1,gemma4:e4b,self,DONATE,12,9,12,0.75,1.0
agent_2,nemotron-3-nano:4b,other,ATTEMPT_JOB,313,74,257,0.2364217252396166,0.8210862619808307
agent_2,nemotron-3-nano:4b,other,DONATE,5,3,3,0.6,0.6
agent_2,nemotron-3-nano:4b,other,IDLE,63,5,5,0.07936507936507936,0.07936507936507936
agent_2,nemotron-3-nano:4b,self,ATTEMPT_JOB,112,61,110,0.5446428571428571,0.9821428571428571
agent_2,nemotron-3-nano:4b,self,DONATE,4,0,0,0.0,0.0
agent_2,nemotron-3-nano:4b,self,IDLE,27,0,0,0.0,0.0
agent_3,qwen3.5:4b,other,ATTEMPT_JOB,383,95,316,0.24804177545691905,0.825065274151436
agent_3,qwen3.5:4b,other,DONATE,12,6,8,0.5,0.6666666666666666
agent_3,qwen3.5:4b,other,IDLE,33,3,3,0.09090909090909091,0.09090909090909091
agent_3,qwen3.5:4b,self,ATTEMPT_JOB,133,46,122,0.3458646616541353,0.9172932330827067
agent_3,qwen3.5:4b,self,DONATE,8,2,2,0.25,0.25
agent_3,qwen3.5:4b,self,IDLE,3,0,0,0.0,0.0
agent_4,qwen3:8b,other,ATTEMPT_JOB,318,75,280,0.2358490566037736,0.8805031446540881
agent_4,qwen3:8b,other,DONATE,12,0,0,0.0,0.0
agent_4,qwen3:8b,other,IDLE,7,1,1,0.14285714285714285,0.14285714285714285
agent_4,qwen3:8b,self,ATTEMPT_JOB,76,29,64,0.3815789473684211,0.8421052631578947
agent_4,qwen3:8b,self,DONATE,12,5,5,0.4166666666666667,0.4166666666666667
agent_4,qwen3:8b,self,IDLE,3,1,1,0.3333333333333333,0.3333333333333333
agent_5,qwen3.5:9b,other,ATTEMPT_JOB,183,57,172,0.3114754098360656,0.9398907103825137
agent_5,qwen3.5:9b,other,DONATE,2,2,2,1.0,1.0
agent_5,qwen3.5:9b,other,IDLE,5,1,1,0.2,0.2
agent_5,qwen3.5:9b,self,ATTEMPT_JOB,41,6,35,0.14634146341463414,0.8536585365853658
agent_5,qwen3.5:9b,self,IDLE,4,2,2,0.5,0.5
