agent_id,model_name,action,count,avg_count_per_run,avg_frequency_per_run,n_runs
agent_1,gemma4:e4b,ATTEMPT_JOB,108.0,21.6,0.8400000000000001,5
agent_1,gemma4:e4b,DONATE,20.0,4.0,0.15999999999999998,5
agent_1,gemma4:e4b,IDLE,0.0,0.0,0.0,5
agent_1,gemma4:e4b,INACTIVE,0.0,0.0,0.0,5
agent_2,nemotron-3-nano:4b,ATTEMPT_JOB,133.0,26.6,0.9580392156862745,5
agent_2,nemotron-3-nano:4b,DONATE,1.0,0.2,0.011764705882352941,5
agent_2,nemotron-3-nano:4b,IDLE,1.0,0.2,0.006666666666666666,5
agent_2,nemotron-3-nano:4b,INACTIVE,2.0,0.4,0.023529411764705882,5
agent_3,qwen3.5:4b,ATTEMPT_JOB,125.0,25.0,0.89,5
agent_3,qwen3.5:4b,DONATE,14.0,2.8,0.1,5
agent_3,qwen3.5:4b,IDLE,0.0,0.0,0.0,5
agent_3,qwen3.5:4b,INACTIVE,1.0,0.2,0.01,5
agent_4,qwen3:8b,ATTEMPT_JOB,96.0,19.2,0.8947214854111406,5
agent_4,qwen3:8b,DONATE,2.0,0.4,0.013563218390804599,5
agent_4,qwen3:8b,IDLE,0.0,0.0,0.0,5
agent_4,qwen3:8b,INACTIVE,9.0,1.8,0.09171529619805482,5
agent_5,qwen3.5:9b,ATTEMPT_JOB,66.0,13.2,0.7750922266139657,5
agent_5,qwen3.5:9b,DONATE,0.0,0.0,0.0,5
agent_5,qwen3.5:9b,IDLE,2.0,0.4,0.018333333333333333,5
agent_5,qwen3.5:9b,INACTIVE,18.0,3.6,0.20657444005270093,5
