agent_id,model_name,action,count,avg_count_per_run,avg_frequency_per_run,n_runs
agent_1,gemma4:e4b,ATTEMPT_JOB,108.0,21.6,0.8400000000000001,5
agent_1,gemma4:e4b,DONATE,20.0,4.0,0.15999999999999998,5
agent_1,gemma4:e4b,ERROR,0.0,0.0,0.0,5
agent_1,gemma4:e4b,IDLE,0.0,0.0,0.0,5
agent_1,gemma4:e4b,INACTIVE,0.0,0.0,0.0,5
agent_2,nemotron-3-nano:4b,ATTEMPT_JOB,128.0,25.6,0.9196078431372549,5
agent_2,nemotron-3-nano:4b,DONATE,0.0,0.0,0.0,5
agent_2,nemotron-3-nano:4b,ERROR,7.0,1.4,0.056862745098039215,5
agent_2,nemotron-3-nano:4b,IDLE,0.0,0.0,0.0,5
agent_2,nemotron-3-nano:4b,INACTIVE,2.0,0.4,0.023529411764705882,5
agent_3,qwen3.5:4b,ATTEMPT_JOB,125.0,25.0,0.89,5
agent_3,qwen3.5:4b,DONATE,14.0,2.8,0.1,5
agent_3,qwen3.5:4b,ERROR,0.0,0.0,0.0,5
agent_3,qwen3.5:4b,IDLE,0.0,0.0,0.0,5
agent_3,qwen3.5:4b,INACTIVE,1.0,0.2,0.01,5
agent_4,qwen3:8b,ATTEMPT_JOB,91.0,18.2,0.860132625994695,5
agent_4,qwen3:8b,DONATE,1.0,0.2,0.006896551724137931,5
agent_4,qwen3:8b,ERROR,6.0,1.2,0.041255526083112296,5
agent_4,qwen3:8b,IDLE,0.0,0.0,0.0,5
agent_4,qwen3:8b,INACTIVE,9.0,1.8,0.09171529619805482,5
agent_5,qwen3.5:9b,ATTEMPT_JOB,63.0,12.6,0.7313965744400527,5
agent_5,qwen3.5:9b,DONATE,0.0,0.0,0.0,5
agent_5,qwen3.5:9b,ERROR,7.0,1.4,0.07905797101449276,5
agent_5,qwen3.5:9b,IDLE,2.0,0.4,0.018333333333333333,5
agent_5,qwen3.5:9b,INACTIVE,14.0,2.8,0.1712121212121212,5
