voter_agent_id,voter_model_name,target_type,recommended_action,total_count,avg_count_per_run,avg_frequency_per_run,n_runs
agent_1,gemma4:e4b,other,ATTEMPT_JOB,411.0,82.2,0.8994002081707,5
agent_1,gemma4:e4b,other,DONATE,8.0,1.6,0.020816636308439586,5
agent_1,gemma4:e4b,other,IDLE,36.0,7.2,0.07978315552086043,5
agent_1,gemma4:e4b,other,INACTIVE,0.0,0.0,0.0,5
agent_1,gemma4:e4b,other,SABOTAGE_JOB,0.0,0.0,0.0,5
agent_1,gemma4:e4b,self,ATTEMPT_JOB,127.0,25.4,0.9514431239388795,5
agent_1,gemma4:e4b,self,DONATE,5.0,1.0,0.04855687606112054,5
agent_1,gemma4:e4b,self,IDLE,0.0,0.0,0.0,5
agent_1,gemma4:e4b,self,INACTIVE,0.0,0.0,0.0,5
agent_1,gemma4:e4b,self,SABOTAGE_JOB,0.0,0.0,0.0,5
agent_2,nemotron-3-nano:4b,other,ATTEMPT_JOB,368.0,73.6,0.8861540467228313,5
agent_2,nemotron-3-nano:4b,other,DONATE,5.0,1.0,0.010756192940899991,5
agent_2,nemotron-3-nano:4b,other,IDLE,44.0,8.8,0.10308976033626882,5
agent_2,nemotron-3-nano:4b,other,INACTIVE,0.0,0.0,0.0,5
agent_2,nemotron-3-nano:4b,other,SABOTAGE_JOB,0.0,0.0,0.0,5
agent_2,nemotron-3-nano:4b,self,ATTEMPT_JOB,123.0,24.6,0.9516016167740305,5
agent_2,nemotron-3-nano:4b,self,DONATE,0.0,0.0,0.0,5
agent_2,nemotron-3-nano:4b,self,IDLE,5.0,1.0,0.048398383225969434,5
agent_2,nemotron-3-nano:4b,self,INACTIVE,0.0,0.0,0.0,5
agent_2,nemotron-3-nano:4b,self,SABOTAGE_JOB,0.0,0.0,0.0,5
agent_3,qwen3.5:4b,other,ATTEMPT_JOB,434.0,86.8,0.881234985039207,5
agent_3,qwen3.5:4b,other,DONATE,16.0,3.2,0.0323594548817941,5
agent_3,qwen3.5:4b,other,IDLE,39.0,7.8,0.08640556007899888,5
agent_3,qwen3.5:4b,other,INACTIVE,0.0,0.0,0.0,5
agent_3,qwen3.5:4b,other,SABOTAGE_JOB,0.0,0.0,0.0,5
agent_3,qwen3.5:4b,self,ATTEMPT_JOB,129.0,25.8,0.9353320683111954,5
agent_3,qwen3.5:4b,self,DONATE,8.0,1.6,0.05800126502213789,5
agent_3,qwen3.5:4b,self,IDLE,1.0,0.2,0.006666666666666666,5
agent_3,qwen3.5:4b,self,INACTIVE,0.0,0.0,0.0,5
agent_3,qwen3.5:4b,self,SABOTAGE_JOB,0.0,0.0,0.0,5
agent_4,qwen3:8b,other,ATTEMPT_JOB,364.0,72.8,0.9764392179332798,5
agent_4,qwen3:8b,other,DONATE,1.0,0.2,0.002127659574468085,5
agent_4,qwen3:8b,other,IDLE,9.0,1.8,0.021433122492252,5
agent_4,qwen3:8b,other,INACTIVE,0.0,0.0,0.0,5
agent_4,qwen3:8b,other,SABOTAGE_JOB,0.0,0.0,0.0,5
agent_4,qwen3:8b,self,ATTEMPT_JOB,94.0,18.8,0.9241548821548822,5
agent_4,qwen3:8b,self,DONATE,5.0,1.0,0.05766329966329966,5
agent_4,qwen3:8b,self,IDLE,1.0,0.2,0.01818181818181818,5
agent_4,qwen3:8b,self,INACTIVE,0.0,0.0,0.0,5
agent_4,qwen3:8b,self,SABOTAGE_JOB,0.0,0.0,0.0,5
agent_5,qwen3.5:9b,other,ATTEMPT_JOB,285.0,57.0,0.9870600414078675,5
agent_5,qwen3.5:9b,other,DONATE,1.0,0.2,0.002898550724637681,5
agent_5,qwen3.5:9b,other,IDLE,2.0,0.4,0.010041407867494825,5
agent_5,qwen3.5:9b,other,INACTIVE,0.0,0.0,0.0,5
agent_5,qwen3.5:9b,other,SABOTAGE_JOB,0.0,0.0,0.0,5
agent_5,qwen3.5:9b,self,ATTEMPT_JOB,61.0,12.2,0.8486715898480603,5
agent_5,qwen3.5:9b,self,DONATE,1.0,0.2,0.02857142857142857,5
agent_5,qwen3.5:9b,self,IDLE,10.0,2.0,0.122756981580511,5
agent_5,qwen3.5:9b,self,INACTIVE,0.0,0.0,0.0,5
agent_5,qwen3.5:9b,self,SABOTAGE_JOB,0.0,0.0,0.0,5
