voter_agent_id,voter_model_name,target_type,recommended_action,total_recommendations,strict_followed,action_only_followed,strict_follow_rate,action_only_follow_rate
agent_1,gemma4:e4b,other,ATTEMPT_JOB,406,199,387,0.49014778325123154,0.9532019704433498
agent_1,gemma4:e4b,other,DONATE,7,4,5,0.5714285714285714,0.7142857142857143
agent_1,gemma4:e4b,other,IDLE,26,1,1,0.038461538461538464,0.038461538461538464
agent_1,gemma4:e4b,self,ATTEMPT_JOB,127,85,110,0.6692913385826772,0.8661417322834646
agent_1,gemma4:e4b,self,DONATE,5,5,5,1.0,1.0
agent_2,nemotron-3-nano:4b,other,ATTEMPT_JOB,359,71,322,0.1977715877437326,0.8969359331476323
agent_2,nemotron-3-nano:4b,other,DONATE,4,1,1,0.25,0.25
agent_2,nemotron-3-nano:4b,other,IDLE,42,1,1,0.023809523809523808,0.023809523809523808
agent_2,nemotron-3-nano:4b,self,ATTEMPT_JOB,122,53,121,0.4344262295081967,0.9918032786885246
agent_2,nemotron-3-nano:4b,self,IDLE,5,0,0,0.0,0.0
agent_3,qwen3.5:4b,other,ATTEMPT_JOB,419,108,390,0.2577565632458234,0.9307875894988067
agent_3,qwen3.5:4b,other,DONATE,14,4,4,0.2857142857142857,0.2857142857142857
agent_3,qwen3.5:4b,other,IDLE,16,0,0,0.0,0.0
agent_3,qwen3.5:4b,self,ATTEMPT_JOB,129,52,120,0.40310077519379844,0.9302325581395349
agent_3,qwen3.5:4b,self,DONATE,8,5,5,0.625,0.625
agent_3,qwen3.5:4b,self,IDLE,1,0,0,0.0,0.0
agent_4,qwen3:8b,other,ATTEMPT_JOB,356,102,327,0.28651685393258425,0.9185393258426966
agent_4,qwen3:8b,other,IDLE,9,2,2,0.2222222222222222,0.2222222222222222
agent_4,qwen3:8b,self,ATTEMPT_JOB,92,40,88,0.43478260869565216,0.9565217391304348
agent_4,qwen3:8b,self,DONATE,4,1,1,0.25,0.25
agent_5,qwen3.5:9b,other,ATTEMPT_JOB,284,57,273,0.2007042253521127,0.9612676056338029
agent_5,qwen3.5:9b,other,DONATE,1,0,0,0.0,0.0
agent_5,qwen3.5:9b,other,IDLE,2,0,0,0.0,0.0
agent_5,qwen3.5:9b,self,ATTEMPT_JOB,60,26,60,0.43333333333333335,1.0
agent_5,qwen3.5:9b,self,IDLE,8,2,2,0.25,0.25
