agent_id,model_name,job_difficulty,attempted,succeeded,success_rate_pooled,avg_success_rate_per_run,std_success_rate_per_run,n_runs_with_attempt
agent_1,gemma4:e4b,easy,3,1,0.3333333333333333,0.5,0.7071067811865476,2
agent_1,gemma4:e4b,hard,92,22,0.2391304347826087,0.21816299642386597,0.15725949624277508,5
agent_1,gemma4:e4b,medium,13,6,0.46153846153846156,0.43333333333333335,0.31754264805429416,3
agent_2,nemotron-3-nano:4b,easy,16,12,0.75,0.6818181818181819,0.4723774929733301,4
agent_2,nemotron-3-nano:4b,hard,92,13,0.14130434782608695,0.10400000000000001,0.10430723848324237,5
agent_2,nemotron-3-nano:4b,medium,25,8,0.32,0.36333333333333334,0.2534210374499762,5
agent_3,qwen3.5:4b,easy,17,13,0.7647058823529411,0.8300000000000001,0.26362852652928137,5
agent_3,qwen3.5:4b,hard,70,13,0.18571428571428572,0.15313165095773792,0.14179042343852458,5
agent_3,qwen3.5:4b,medium,38,15,0.39473684210526316,0.31399711399711394,0.18136697029950885,5
agent_4,qwen3:8b,easy,6,4,0.6666666666666666,0.625,0.1767766952966369,2
agent_4,qwen3:8b,hard,41,8,0.1951219512195122,0.15717171717171716,0.15660410085190068,5
agent_4,qwen3:8b,medium,49,28,0.5714285714285714,0.5721367521367522,0.3061223002927159,5
agent_5,qwen3.5:9b,easy,39,27,0.6923076923076923,0.5603174603174603,0.35835772210416444,5
agent_5,qwen3.5:9b,hard,13,3,0.23076923076923078,0.08333333333333333,0.16666666666666666,4
agent_5,qwen3.5:9b,medium,14,8,0.5714285714285714,0.5533333333333333,0.36178569469907024,5
