voter_agent_id,voter_model_name,target_type,recommended_action,enacted_recommendations,avg_actual_net_energy,total_actual_net_energy
agent_1,gemma4:e4b,other,ATTEMPT_JOB,120,-31.6495,-3797.94
agent_1,gemma4:e4b,other,DONATE,2,-385.11,-770.22
agent_1,gemma4:e4b,other,IDLE,3,-160.0,-480.0
agent_1,gemma4:e4b,self,ATTEMPT_JOB,58,36.65931034482759,2126.2400000000002
agent_1,gemma4:e4b,self,DONATE,3,-290.97333333333336,-872.9200000000001
agent_1,gemma4:e4b,self,IDLE,1,-163.48,-163.48
agent_2,nemotron-3-nano:4b,other,ATTEMPT_JOB,68,77.04838235294118,5239.29
agent_2,nemotron-3-nano:4b,other,IDLE,6,-146.40833333333333,-878.45
agent_2,nemotron-3-nano:4b,self,ATTEMPT_JOB,75,14.257199999999996,1069.2899999999997
agent_2,nemotron-3-nano:4b,self,DONATE,1,-480.21,-480.21
agent_2,nemotron-3-nano:4b,self,IDLE,1,-134.2,-134.2
agent_3,qwen3.5:4b,other,ATTEMPT_JOB,102,-39.530686274509804,-4032.13
agent_3,qwen3.5:4b,other,DONATE,1,-286.73,-286.73
agent_3,qwen3.5:4b,other,IDLE,5,-194.456,-972.28
agent_3,qwen3.5:4b,self,ATTEMPT_JOB,52,20.665576923076927,1074.6100000000001
agent_3,qwen3.5:4b,self,DONATE,4,-343.1,-1372.4
agent_4,qwen3:8b,other,ATTEMPT_JOB,70,-37.92985714285714,-2655.0899999999997
agent_4,qwen3:8b,other,DONATE,2,-265.51,-531.02
agent_4,qwen3:8b,self,ATTEMPT_JOB,40,-37.64075,-1505.6299999999999
agent_4,qwen3:8b,self,DONATE,3,-391.4666666666667,-1174.4
agent_4,qwen3:8b,self,IDLE,1,-210.0,-210.0
agent_5,qwen3.5:9b,other,ATTEMPT_JOB,37,-69.85405405405405,-2584.6
agent_5,qwen3.5:9b,other,IDLE,1,-96.31,-96.31
agent_5,qwen3.5:9b,self,ATTEMPT_JOB,17,-168.99235294117648,-2872.87
agent_5,qwen3.5:9b,self,IDLE,1,-60.0,-60.0
