voter_agent_id,voter_model_name,target_type,recommended_action,total_recommendations,strict_followed,action_only_followed,strict_follow_rate,action_only_follow_rate
agent_1,gemma4:e4b,other,ATTEMPT_JOB,345,120,313,0.34782608695652173,0.9072463768115943
agent_1,gemma4:e4b,other,DONATE,4,2,2,0.5,0.5
agent_1,gemma4:e4b,other,IDLE,9,3,3,0.3333333333333333,0.3333333333333333
agent_1,gemma4:e4b,self,ATTEMPT_JOB,119,58,96,0.48739495798319327,0.8067226890756303
agent_1,gemma4:e4b,self,DONATE,3,3,3,1.0,1.0
agent_1,gemma4:e4b,self,IDLE,1,1,1,1.0,1.0
agent_2,nemotron-3-nano:4b,other,ATTEMPT_JOB,340,68,296,0.2,0.8705882352941177
agent_2,nemotron-3-nano:4b,other,IDLE,45,6,6,0.13333333333333333,0.13333333333333333
agent_2,nemotron-3-nano:4b,self,ATTEMPT_JOB,132,75,124,0.5681818181818182,0.9393939393939394
agent_2,nemotron-3-nano:4b,self,DONATE,3,1,1,0.3333333333333333,0.3333333333333333
agent_2,nemotron-3-nano:4b,self,IDLE,14,1,1,0.07142857142857142,0.07142857142857142
agent_3,qwen3.5:4b,other,ATTEMPT_JOB,361,102,311,0.28254847645429365,0.8614958448753463
agent_3,qwen3.5:4b,other,DONATE,8,1,1,0.125,0.125
agent_3,qwen3.5:4b,other,IDLE,27,5,5,0.18518518518518517,0.18518518518518517
agent_3,qwen3.5:4b,self,ATTEMPT_JOB,123,52,118,0.42276422764227645,0.959349593495935
agent_3,qwen3.5:4b,self,DONATE,12,4,4,0.3333333333333333,0.3333333333333333
agent_3,qwen3.5:4b,self,IDLE,3,0,0,0.0,0.0
agent_4,qwen3:8b,other,ATTEMPT_JOB,297,70,263,0.2356902356902357,0.8855218855218855
agent_4,qwen3:8b,other,DONATE,5,2,2,0.4,0.4
agent_4,qwen3:8b,other,IDLE,5,0,0,0.0,0.0
agent_4,qwen3:8b,self,ATTEMPT_JOB,71,40,62,0.5633802816901409,0.8732394366197183
agent_4,qwen3:8b,self,DONATE,11,3,3,0.2727272727272727,0.2727272727272727
agent_4,qwen3:8b,self,IDLE,4,1,1,0.25,0.25
agent_5,qwen3.5:9b,other,ATTEMPT_JOB,187,37,177,0.19786096256684493,0.946524064171123
agent_5,qwen3.5:9b,other,DONATE,1,0,0,0.0,0.0
agent_5,qwen3.5:9b,other,IDLE,5,1,1,0.2,0.2
agent_5,qwen3.5:9b,self,ATTEMPT_JOB,46,17,39,0.3695652173913043,0.8478260869565217
agent_5,qwen3.5:9b,self,IDLE,2,1,1,0.5,0.5
