voter_agent_id,voter_model_name,target_type,recommended_action,enacted_recommendations,avg_actual_net_energy,total_actual_net_energy
agent_1,gemma4:e4b,other,ATTEMPT_JOB,154,-0.616298701298699,-94.90999999999966
agent_1,gemma4:e4b,other,IDLE,6,-262.33,-1573.98
agent_1,gemma4:e4b,self,ATTEMPT_JOB,52,15.885576923076922,826.05
agent_1,gemma4:e4b,self,DONATE,7,-307.7628571428572,-2154.34
agent_1,gemma4:e4b,self,IDLE,2,-75.08,-150.16
agent_2,nemotron-3-nano:4b,other,ATTEMPT_JOB,67,31.998358208955228,2143.8900000000003
agent_2,nemotron-3-nano:4b,other,DONATE,1,-844.62,-844.62
agent_2,nemotron-3-nano:4b,other,IDLE,9,-190.2877777777778,-1712.5900000000001
agent_2,nemotron-3-nano:4b,self,ATTEMPT_JOB,77,38.244285714285716,2944.81
agent_2,nemotron-3-nano:4b,self,DONATE,1,-220.82999999999998,-220.82999999999998
agent_2,nemotron-3-nano:4b,self,IDLE,2,-57.864999999999995,-115.72999999999999
agent_3,qwen3.5:4b,other,ATTEMPT_JOB,131,-5.345496183206104,-700.2599999999996
agent_3,qwen3.5:4b,other,DONATE,3,-136.08333333333334,-408.25
agent_3,qwen3.5:4b,other,IDLE,6,-110.455,-662.73
agent_3,qwen3.5:4b,self,ATTEMPT_JOB,66,61.38439393939394,4051.37
agent_3,qwen3.5:4b,self,DONATE,10,-332.663,-3326.63
agent_4,qwen3:8b,other,ATTEMPT_JOB,78,14.52435897435897,1132.8999999999996
agent_4,qwen3:8b,other,DONATE,1,-237.69,-237.69
agent_4,qwen3:8b,other,IDLE,2,-208.85,-417.7
agent_4,qwen3:8b,self,ATTEMPT_JOB,18,-191.3338888888889,-3444.01
agent_4,qwen3:8b,self,DONATE,7,-351.1828571428572,-2458.28
agent_4,qwen3:8b,self,IDLE,3,-175.08,-525.24
agent_5,qwen3.5:9b,other,ATTEMPT_JOB,54,23.18277777777778,1251.8700000000001
agent_5,qwen3.5:9b,other,DONATE,1,-439.97,-439.97
agent_5,qwen3.5:9b,other,IDLE,3,-184.34333333333333,-553.03
agent_5,qwen3.5:9b,self,ATTEMPT_JOB,9,-327.7711111111111,-2949.94
agent_5,qwen3.5:9b,self,IDLE,3,-298.04333333333335,-894.13
