voter_agent_id,voter_model_name,target_type,recommended_action,total_count,avg_count_per_run,avg_frequency_per_run,n_runs
agent_1,gemma4:e4b,other,ATTEMPT_JOB,325.0,65.0,0.8938829814659803,5
agent_1,gemma4:e4b,other,DONATE,12.0,2.4,0.02995741446110085,5
agent_1,gemma4:e4b,other,IDLE,28.0,5.6,0.07615960407291884,5
agent_1,gemma4:e4b,other,INACTIVE,0.0,0.0,0.0,5
agent_1,gemma4:e4b,other,SABOTAGE_JOB,0.0,0.0,0.0,5
agent_1,gemma4:e4b,self,ATTEMPT_JOB,109.0,21.8,0.8747343502618439,5
agent_1,gemma4:e4b,self,DONATE,7.0,1.4,0.056806418219461696,5
agent_1,gemma4:e4b,self,IDLE,7.0,1.4,0.06845923151869444,5
agent_1,gemma4:e4b,self,INACTIVE,0.0,0.0,0.0,5
agent_1,gemma4:e4b,self,SABOTAGE_JOB,0.0,0.0,0.0,5
agent_2,nemotron-3-nano:4b,other,ATTEMPT_JOB,294.0,58.8,0.8405914494069208,5
agent_2,nemotron-3-nano:4b,other,DONATE,3.0,0.6,0.00851935180702304,5
agent_2,nemotron-3-nano:4b,other,IDLE,53.0,10.6,0.15088919878605617,5
agent_2,nemotron-3-nano:4b,other,INACTIVE,0.0,0.0,0.0,5
agent_2,nemotron-3-nano:4b,other,SABOTAGE_JOB,0.0,0.0,0.0,5
agent_2,nemotron-3-nano:4b,self,ATTEMPT_JOB,127.0,25.4,0.8885185185185186,5
agent_2,nemotron-3-nano:4b,self,DONATE,6.0,1.2,0.04216931216931217,5
agent_2,nemotron-3-nano:4b,self,IDLE,10.0,2.0,0.06931216931216931,5
agent_2,nemotron-3-nano:4b,self,INACTIVE,0.0,0.0,0.0,5
agent_2,nemotron-3-nano:4b,self,SABOTAGE_JOB,0.0,0.0,0.0,5
agent_3,qwen3.5:4b,other,ATTEMPT_JOB,385.0,77.0,0.7575253792786427,5
agent_3,qwen3.5:4b,other,DONATE,33.0,6.6,0.06483538499484905,5
agent_3,qwen3.5:4b,other,IDLE,90.0,18.0,0.17763923572650828,5
agent_3,qwen3.5:4b,other,INACTIVE,0.0,0.0,0.0,5
agent_3,qwen3.5:4b,other,SABOTAGE_JOB,0.0,0.0,0.0,5
agent_3,qwen3.5:4b,self,ATTEMPT_JOB,135.0,27.0,0.8941935483870967,5
agent_3,qwen3.5:4b,self,DONATE,13.0,2.6,0.08602150537634409,5
agent_3,qwen3.5:4b,self,IDLE,3.0,0.6,0.019784946236559138,5
agent_3,qwen3.5:4b,self,INACTIVE,0.0,0.0,0.0,5
agent_3,qwen3.5:4b,self,SABOTAGE_JOB,0.0,0.0,0.0,5
agent_4,qwen3:8b,other,ATTEMPT_JOB,241.0,48.2,0.958086658086658,5
agent_4,qwen3:8b,other,DONATE,5.0,1.0,0.020326040326040327,5
agent_4,qwen3:8b,other,IDLE,6.0,1.2,0.021587301587301586,5
agent_4,qwen3:8b,other,INACTIVE,0.0,0.0,0.0,5
agent_4,qwen3:8b,other,SABOTAGE_JOB,0.0,0.0,0.0,5
agent_4,qwen3:8b,self,ATTEMPT_JOB,51.0,10.2,0.7061383061383062,5
agent_4,qwen3:8b,self,DONATE,9.0,1.8,0.11555555555555555,5
agent_4,qwen3:8b,self,IDLE,12.0,2.4,0.1783061383061383,5
agent_4,qwen3:8b,self,INACTIVE,0.0,0.0,0.0,5
agent_4,qwen3:8b,self,SABOTAGE_JOB,0.0,0.0,0.0,5
agent_5,qwen3.5:9b,other,ATTEMPT_JOB,166.0,33.2,0.925955756661639,5
agent_5,qwen3.5:9b,other,DONATE,4.0,0.8,0.023457013574660634,5
agent_5,qwen3.5:9b,other,IDLE,9.0,1.8,0.05058722976370036,5
agent_5,qwen3.5:9b,other,INACTIVE,0.0,0.0,0.0,5
agent_5,qwen3.5:9b,other,SABOTAGE_JOB,0.0,0.0,0.0,5
agent_5,qwen3.5:9b,self,ATTEMPT_JOB,39.0,7.8,0.8231990231990232,5
agent_5,qwen3.5:9b,self,DONATE,2.0,0.4,0.03076923076923077,5
agent_5,qwen3.5:9b,self,IDLE,6.0,1.2,0.146031746031746,5
agent_5,qwen3.5:9b,self,INACTIVE,0.0,0.0,0.0,5
agent_5,qwen3.5:9b,self,SABOTAGE_JOB,0.0,0.0,0.0,5
