voter_agent_id,voter_model_name,target_type,recommended_action,total_recommendations,strict_followed,action_only_followed,strict_follow_rate,action_only_follow_rate
agent_1,gemma4:e4b,other,ATTEMPT_JOB,317,154,278,0.48580441640378547,0.8769716088328076
agent_1,gemma4:e4b,other,DONATE,10,0,1,0.0,0.1
agent_1,gemma4:e4b,other,IDLE,19,6,6,0.3157894736842105,0.3157894736842105
agent_1,gemma4:e4b,self,ATTEMPT_JOB,109,52,86,0.47706422018348627,0.7889908256880734
agent_1,gemma4:e4b,self,DONATE,7,7,7,1.0,1.0
agent_1,gemma4:e4b,self,IDLE,6,2,2,0.3333333333333333,0.3333333333333333
agent_2,nemotron-3-nano:4b,other,ATTEMPT_JOB,286,67,232,0.23426573426573427,0.8111888111888111
agent_2,nemotron-3-nano:4b,other,DONATE,3,1,1,0.3333333333333333,0.3333333333333333
agent_2,nemotron-3-nano:4b,other,IDLE,47,9,9,0.19148936170212766,0.19148936170212766
agent_2,nemotron-3-nano:4b,self,ATTEMPT_JOB,127,77,122,0.6062992125984252,0.9606299212598425
agent_2,nemotron-3-nano:4b,self,DONATE,6,1,1,0.16666666666666666,0.16666666666666666
agent_2,nemotron-3-nano:4b,self,IDLE,10,2,2,0.2,0.2
agent_3,qwen3.5:4b,other,ATTEMPT_JOB,350,131,284,0.3742857142857143,0.8114285714285714
agent_3,qwen3.5:4b,other,DONATE,12,3,3,0.25,0.25
agent_3,qwen3.5:4b,other,IDLE,37,6,6,0.16216216216216217,0.16216216216216217
agent_3,qwen3.5:4b,self,ATTEMPT_JOB,135,66,125,0.4888888888888889,0.9259259259259259
agent_3,qwen3.5:4b,self,DONATE,13,10,11,0.7692307692307693,0.8461538461538461
agent_3,qwen3.5:4b,self,IDLE,3,0,0,0.0,0.0
agent_4,qwen3:8b,other,ATTEMPT_JOB,236,78,206,0.3305084745762712,0.8728813559322034
agent_4,qwen3:8b,other,DONATE,4,1,2,0.25,0.5
agent_4,qwen3:8b,other,IDLE,6,2,2,0.3333333333333333,0.3333333333333333
agent_4,qwen3:8b,self,ATTEMPT_JOB,44,18,33,0.4090909090909091,0.75
agent_4,qwen3:8b,self,DONATE,7,7,7,1.0,1.0
agent_4,qwen3:8b,self,IDLE,9,3,3,0.3333333333333333,0.3333333333333333
agent_5,qwen3.5:9b,other,ATTEMPT_JOB,164,54,138,0.32926829268292684,0.8414634146341463
agent_5,qwen3.5:9b,other,DONATE,3,1,1,0.3333333333333333,0.3333333333333333
agent_5,qwen3.5:9b,other,IDLE,6,3,3,0.5,0.5
agent_5,qwen3.5:9b,self,ATTEMPT_JOB,36,9,28,0.25,0.7777777777777778
agent_5,qwen3.5:9b,self,DONATE,2,0,0,0.0,0.0
agent_5,qwen3.5:9b,self,IDLE,4,3,3,0.75,0.75
