agent_id,model_name,job_difficulty,attempted,succeeded,success_rate_pooled,avg_success_rate_per_run,std_success_rate_per_run,n_runs_with_attempt
agent_1,gemma4:e4b,easy,12,8,0.6666666666666666,0.5,0.4714045207910317,5
agent_1,gemma4:e4b,hard,32,6,0.1875,0.16796536796536796,0.17513484458866801,5
agent_1,gemma4:e4b,medium,43,20,0.46511627906976744,0.39211017740429505,0.16024028313519842,5
agent_2,nemotron-3-nano:4b,easy,15,9,0.6,0.6333333333333333,0.29226129861250305,5
agent_2,nemotron-3-nano:4b,hard,79,18,0.22784810126582278,0.2298202614379085,0.12464887913268972,5
agent_2,nemotron-3-nano:4b,medium,47,16,0.3404255319148936,0.3463636363636363,0.18793254362936876,5
agent_3,qwen3.5:4b,easy,39,33,0.8461538461538461,0.8194444444444444,0.125,5
agent_3,qwen3.5:4b,hard,43,17,0.3953488372093023,0.3744155844155844,0.18584683309170003,5
agent_3,qwen3.5:4b,medium,48,24,0.5,0.5,0.07071067811865474,5
agent_4,qwen3:8b,easy,15,11,0.7333333333333333,0.7916666666666666,0.25,4
agent_4,qwen3:8b,hard,8,1,0.125,0.08333333333333333,0.16666666666666666,4
agent_4,qwen3:8b,medium,15,6,0.4,0.3333333333333333,0.31180478223116176,5
agent_5,qwen3.5:9b,easy,20,11,0.55,0.5533333333333333,0.07673909622147553,5
agent_5,qwen3.5:9b,hard,5,1,0.2,0.16666666666666666,0.23570226039551584,2
agent_5,qwen3.5:9b,medium,8,7,0.875,0.9166666666666667,0.11785113019775793,2
