agent_id,model_name,job_category,job_difficulty,total_attempts,avg_count_per_run,std_count_per_run,n_runs
agent_1,gemma4:e4b,biology,easy,3,1.0,0.0,3
agent_1,gemma4:e4b,biology,hard,2,1.0,0.0,2
agent_1,gemma4:e4b,biology,medium,2,2.0,,1
agent_1,gemma4:e4b,business,easy,2,1.0,0.0,2
agent_1,gemma4:e4b,business,hard,7,1.75,0.9574271077563381,4
agent_1,gemma4:e4b,business,medium,5,1.6666666666666667,0.5773502691896257,3
agent_1,gemma4:e4b,chemistry,hard,3,3.0,,1
agent_1,gemma4:e4b,chemistry,medium,2,1.0,0.0,2
agent_1,gemma4:e4b,computer science,hard,6,2.0,1.0,3
agent_1,gemma4:e4b,computer science,medium,9,2.25,0.5,4
agent_1,gemma4:e4b,economics,easy,2,1.0,0.0,2
agent_1,gemma4:e4b,economics,hard,4,4.0,,1
agent_1,gemma4:e4b,economics,medium,9,1.8,0.8366600265340756,5
agent_1,gemma4:e4b,engineering,easy,1,1.0,,1
agent_1,gemma4:e4b,engineering,hard,2,1.0,0.0,2
agent_1,gemma4:e4b,engineering,medium,2,1.0,0.0,2
agent_1,gemma4:e4b,health,easy,2,1.0,0.0,2
agent_1,gemma4:e4b,health,hard,3,1.0,0.0,3
agent_1,gemma4:e4b,health,medium,1,1.0,,1
agent_1,gemma4:e4b,history,easy,1,1.0,,1
agent_1,gemma4:e4b,history,hard,2,1.0,0.0,2
agent_1,gemma4:e4b,history,medium,1,1.0,,1
agent_1,gemma4:e4b,law,easy,3,1.0,0.0,3
agent_1,gemma4:e4b,law,hard,4,2.0,1.4142135623730951,2
agent_1,gemma4:e4b,law,medium,2,1.0,0.0,2
agent_1,gemma4:e4b,math,easy,1,1.0,,1
agent_1,gemma4:e4b,math,hard,1,1.0,,1
agent_1,gemma4:e4b,math,medium,4,1.0,0.0,4
agent_1,gemma4:e4b,philosophy,easy,2,2.0,,1
agent_1,gemma4:e4b,philosophy,hard,1,1.0,,1
agent_1,gemma4:e4b,philosophy,medium,2,2.0,,1
agent_1,gemma4:e4b,physics,hard,13,3.25,3.2015621187164243,4
agent_1,gemma4:e4b,physics,medium,8,2.6666666666666665,1.1547005383792515,3
agent_1,gemma4:e4b,psychology,easy,3,3.0,,1
agent_1,gemma4:e4b,psychology,hard,7,2.3333333333333335,1.5275252316519465,3
agent_1,gemma4:e4b,psychology,medium,7,3.5,2.1213203435596424,2
agent_2,nemotron-3-nano:4b,biology,easy,10,2.0,1.224744871391589,5
agent_2,nemotron-3-nano:4b,biology,hard,3,1.0,0.0,3
agent_2,nemotron-3-nano:4b,biology,medium,4,1.0,0.0,4
agent_2,nemotron-3-nano:4b,business,easy,6,1.5,0.5773502691896257,4
agent_2,nemotron-3-nano:4b,business,hard,3,1.0,0.0,3
agent_2,nemotron-3-nano:4b,business,medium,5,1.6666666666666667,1.1547005383792517,3
agent_2,nemotron-3-nano:4b,chemistry,easy,5,1.25,0.5,4
agent_2,nemotron-3-nano:4b,chemistry,hard,2,1.0,0.0,2
agent_2,nemotron-3-nano:4b,chemistry,medium,5,1.6666666666666667,0.5773502691896258,3
agent_2,nemotron-3-nano:4b,computer science,easy,6,1.5,0.5773502691896257,4
agent_2,nemotron-3-nano:4b,computer science,hard,1,1.0,,1
agent_2,nemotron-3-nano:4b,computer science,medium,4,1.0,0.0,4
agent_2,nemotron-3-nano:4b,economics,easy,1,1.0,,1
agent_2,nemotron-3-nano:4b,economics,hard,1,1.0,,1
agent_2,nemotron-3-nano:4b,economics,medium,8,2.6666666666666665,1.5275252316519468,3
agent_2,nemotron-3-nano:4b,engineering,easy,2,2.0,,1
agent_2,nemotron-3-nano:4b,engineering,hard,2,1.0,0.0,2
agent_2,nemotron-3-nano:4b,engineering,medium,10,2.5,1.2909944487358056,4
agent_2,nemotron-3-nano:4b,health,easy,1,1.0,,1
agent_2,nemotron-3-nano:4b,health,medium,5,1.6666666666666667,0.5773502691896257,3
agent_2,nemotron-3-nano:4b,history,easy,5,1.6666666666666667,1.1547005383792517,3
agent_2,nemotron-3-nano:4b,history,hard,1,1.0,,1
agent_2,nemotron-3-nano:4b,history,medium,2,2.0,,1
agent_2,nemotron-3-nano:4b,law,easy,8,2.0,0.816496580927726,4
agent_2,nemotron-3-nano:4b,law,hard,7,1.4,0.8944271909999159,5
agent_2,nemotron-3-nano:4b,law,medium,4,2.0,0.0,2
agent_2,nemotron-3-nano:4b,math,easy,8,2.6666666666666665,1.1547005383792515,3
agent_2,nemotron-3-nano:4b,math,hard,4,1.3333333333333333,0.5773502691896258,3
agent_2,nemotron-3-nano:4b,math,medium,3,1.5,0.7071067811865476,2
agent_2,nemotron-3-nano:4b,philosophy,easy,1,1.0,,1
agent_2,nemotron-3-nano:4b,philosophy,hard,1,1.0,,1
agent_2,nemotron-3-nano:4b,philosophy,medium,1,1.0,,1
agent_2,nemotron-3-nano:4b,physics,easy,7,2.3333333333333335,0.5773502691896257,3
agent_2,nemotron-3-nano:4b,physics,hard,1,1.0,,1
agent_2,nemotron-3-nano:4b,physics,medium,4,1.0,0.0,4
agent_2,nemotron-3-nano:4b,psychology,easy,4,1.0,0.0,4
agent_2,nemotron-3-nano:4b,psychology,hard,2,1.0,0.0,2
agent_2,nemotron-3-nano:4b,psychology,medium,1,1.0,,1
agent_3,qwen3.5:4b,biology,easy,5,1.6666666666666667,0.5773502691896257,3
agent_3,qwen3.5:4b,biology,medium,1,1.0,,1
agent_3,qwen3.5:4b,business,easy,9,2.25,1.5,4
agent_3,qwen3.5:4b,business,medium,7,1.75,1.5,4
agent_3,qwen3.5:4b,chemistry,easy,12,3.0,1.4142135623730951,4
agent_3,qwen3.5:4b,chemistry,medium,4,1.3333333333333333,0.5773502691896257,3
agent_3,qwen3.5:4b,computer science,easy,9,1.8,0.4472135954999579,5
agent_3,qwen3.5:4b,computer science,medium,2,1.0,0.0,2
agent_3,qwen3.5:4b,economics,easy,6,1.5,0.5773502691896257,4
agent_3,qwen3.5:4b,economics,medium,7,2.3333333333333335,1.5275252316519465,3
agent_3,qwen3.5:4b,engineering,easy,6,1.5,0.5773502691896257,4
agent_3,qwen3.5:4b,health,easy,4,1.3333333333333333,0.5773502691896257,3
agent_3,qwen3.5:4b,health,medium,2,2.0,,1
agent_3,qwen3.5:4b,history,easy,7,1.4,0.8944271909999159,5
agent_3,qwen3.5:4b,history,hard,2,2.0,,1
agent_3,qwen3.5:4b,history,medium,2,1.0,0.0,2
agent_3,qwen3.5:4b,law,easy,5,1.6666666666666667,1.1547005383792517,3
agent_3,qwen3.5:4b,math,easy,11,3.6666666666666665,2.5166114784235836,3
agent_3,qwen3.5:4b,math,medium,1,1.0,,1
agent_3,qwen3.5:4b,philosophy,easy,6,2.0,1.0,3
agent_3,qwen3.5:4b,physics,easy,9,2.25,1.5,4
agent_3,qwen3.5:4b,physics,hard,5,1.6666666666666667,0.5773502691896257,3
agent_3,qwen3.5:4b,physics,medium,7,1.75,0.9574271077563381,4
agent_3,qwen3.5:4b,psychology,easy,9,3.0,1.0,3
agent_3,qwen3.5:4b,psychology,hard,1,1.0,,1
agent_3,qwen3.5:4b,psychology,medium,7,1.75,0.9574271077563381,4
agent_4,qwen3:8b,biology,easy,1,1.0,,1
agent_4,qwen3:8b,biology,hard,4,1.3333333333333333,0.5773502691896257,3
agent_4,qwen3:8b,biology,medium,4,1.3333333333333333,0.5773502691896257,3
agent_4,qwen3:8b,business,hard,8,1.6,0.5477225575051661,5
agent_4,qwen3:8b,business,medium,4,1.0,0.0,4
agent_4,qwen3:8b,chemistry,hard,9,3.0,2.0,3
agent_4,qwen3:8b,chemistry,medium,11,2.75,1.5,4
agent_4,qwen3:8b,computer science,hard,3,1.0,0.0,3
agent_4,qwen3:8b,computer science,medium,3,1.5,0.7071067811865476,2
agent_4,qwen3:8b,economics,hard,9,3.0,2.0,3
agent_4,qwen3:8b,economics,medium,7,1.75,1.5,4
agent_4,qwen3:8b,engineering,easy,4,2.0,1.4142135623730951,2
agent_4,qwen3:8b,engineering,hard,5,1.6666666666666667,1.1547005383792517,3
agent_4,qwen3:8b,engineering,medium,9,3.0,1.0,3
agent_4,qwen3:8b,history,medium,4,1.3333333333333333,0.5773502691896258,3
agent_4,qwen3:8b,law,hard,2,1.0,0.0,2
agent_4,qwen3:8b,law,medium,2,2.0,,1
agent_4,qwen3:8b,math,easy,2,1.0,0.0,2
agent_4,qwen3:8b,math,hard,5,1.6666666666666667,1.1547005383792517,3
agent_4,qwen3:8b,math,medium,14,2.8,3.492849839314596,5
agent_4,qwen3:8b,philosophy,hard,3,1.0,0.0,3
agent_4,qwen3:8b,philosophy,medium,5,5.0,,1
agent_4,qwen3:8b,physics,hard,13,3.25,3.2015621187164243,4
agent_4,qwen3:8b,physics,medium,9,1.8,1.3038404810405297,5
agent_4,qwen3:8b,psychology,hard,2,1.0,0.0,2
agent_4,qwen3:8b,psychology,medium,6,2.0,1.0,3
agent_5,qwen3.5:9b,biology,easy,6,1.2,0.4472135954999579,5
agent_5,qwen3.5:9b,business,easy,7,1.75,0.5,4
agent_5,qwen3.5:9b,chemistry,easy,3,1.5,0.7071067811865476,2
agent_5,qwen3.5:9b,computer science,easy,13,3.25,2.6299556396765835,4
agent_5,qwen3.5:9b,computer science,medium,2,2.0,,1
agent_5,qwen3.5:9b,economics,easy,9,1.8,1.0954451150103321,5
agent_5,qwen3.5:9b,economics,medium,4,2.0,1.4142135623730951,2
agent_5,qwen3.5:9b,engineering,easy,9,2.25,1.2583057392117916,4
agent_5,qwen3.5:9b,engineering,medium,2,1.0,0.0,2
agent_5,qwen3.5:9b,health,easy,3,1.0,0.0,3
agent_5,qwen3.5:9b,health,medium,1,1.0,,1
agent_5,qwen3.5:9b,history,easy,6,1.5,0.5773502691896257,4
agent_5,qwen3.5:9b,history,medium,1,1.0,,1
agent_5,qwen3.5:9b,law,easy,6,1.5,1.0,4
agent_5,qwen3.5:9b,math,easy,10,2.5,1.2909944487358056,4
agent_5,qwen3.5:9b,math,medium,3,1.0,0.0,3
agent_5,qwen3.5:9b,philosophy,easy,2,2.0,,1
agent_5,qwen3.5:9b,physics,easy,15,5.0,3.4641016151377544,3
agent_5,qwen3.5:9b,physics,medium,6,3.0,1.4142135623730951,2
agent_5,qwen3.5:9b,psychology,easy,5,1.6666666666666667,1.1547005383792517,3
agent_5,qwen3.5:9b,psychology,medium,1,1.0,,1
