agent_id,model_name,job_difficulty,attempted,succeeded,success_rate_pooled,avg_success_rate_per_run,std_success_rate_per_run,n_runs_with_attempt
agent_1,gemma4:e4b,easy,20,13,0.65,0.7,0.18257418583505533,5
agent_1,gemma4:e4b,hard,55,9,0.16363636363636364,0.1619047619047619,0.1085359173337284,5
agent_1,gemma4:e4b,medium,54,27,0.5,0.5083333333333333,0.14553540997144154,5
agent_2,nemotron-3-nano:4b,easy,64,37,0.578125,0.5738528138528138,0.10275281852088476,5
agent_2,nemotron-3-nano:4b,hard,28,4,0.14285714285714285,0.15666666666666668,0.15073892072793352,5
agent_2,nemotron-3-nano:4b,medium,56,20,0.35714285714285715,0.3634965034965035,0.17495827101457814,5
agent_3,qwen3.5:4b,easy,98,75,0.7653061224489796,0.7570995670995672,0.1915406111006037,5
agent_3,qwen3.5:4b,hard,8,0,0.0,0.0,0.0,4
agent_3,qwen3.5:4b,medium,40,22,0.55,0.5272727272727272,0.37763460799210613,5
agent_4,qwen3:8b,easy,7,7,1.0,1.0,0.0,3
agent_4,qwen3:8b,hard,63,23,0.36507936507936506,0.3205982905982906,0.1608128232361287,5
agent_4,qwen3:8b,medium,78,51,0.6538461538461539,0.6467418546365915,0.08748330230742275,5
agent_5,qwen3.5:9b,easy,94,67,0.7127659574468085,0.7160902255639098,0.15885240862379021,5
agent_5,qwen3.5:9b,medium,20,12,0.6,0.6761904761904762,0.2879279325301138,4
