experiment,agent_id,model_name,gained/spent,avg reward,avg spent,rounds active,deact. rate,donations received/run,donations total,donations made/run,energy donated/run,energy/donation,energy donated total,energy vote/round,energy decide/round,energy act/round,energy total/round
comp,agent_1,gemma4:e4b,1.39 ± 0.43,5310.0,3805.9,30.0 ± 0.0,0%,-,-,-,-,-,-,46.0 ± 1.9,37.5 ± 0.7,43.4 ± 3.8,126.9 ± 4.0
comp,agent_2,nemotron-3-nano:4b,1.13 ± 0.18,3500.0,3122.1,30.0 ± 0.0,0%,-,-,-,-,-,-,48.3 ± 10.2,29.4 ± 4.0,26.4 ± 11.1,104.1 ± 15.8
comp,agent_3,qwen3.5:4b,1.42 ± 0.53,5850.0,4206.9,30.0 ± 0.0,0%,-,-,-,-,-,-,42.9 ± 6.4,62.3 ± 17.4,35.1 ± 6.9,140.2 ± 17.7
comp,agent_4,qwen3:8b,0.55 ± 0.29,3360.0,4847.6,14.0 ± 9.5,100%,-,-,-,-,-,-,152.5 ± 7.3,84.9 ± 9.6,92.5 ± 27.8,329.9 ± 16.8
comp,agent_5,qwen3.5:9b,0.38 ± 0.17,1060.0,2517.9,5.2 ± 1.6,100%,-,-,-,-,-,-,122.1 ± 36.9,228.5 ± 52.5,100.5 ± 28.6,451.1 ± 82.5
coop,agent_1,gemma4:e4b,0.71 ± 0.26,3593.3,4631.7,23.8 ± 8.8,40%,-,-,7.2 ± 3.7,1771.4 ± 729.2,276.1 ± 82.7,8857,53.1 ± 4.1,37.8 ± 0.9,105.4 ± 21.9,196.3 ± 21.2
coop,agent_2,nemotron-3-nano:4b,0.91 ± 0.28,3390.0,3701.3,30.0 ± 0.0,0%,1.0,1,2.0 ± 0.0,250.5 ± 211.4,125.2 ± 105.7,501,54.3 ± 9.8,38.8 ± 4.8,30.3 ± 5.0,123.4 ± 12.7
coop,agent_3,qwen3.5:4b,0.86 ± 0.20,4583.3,5255.7,28.8 ± 2.7,20%,3.0,3,2.4 ± 1.1,590.0 ± 260.8,345.0 ± 366.7,2950,64.3 ± 16.7,73.7 ± 13.2,43.1 ± 12.1,181.1 ± 10.1
coop,agent_4,qwen3:8b,0.45 ± 0.25,2683.3,5385.8,19.2 ± 2.6,100%,5.6 ± 3.6,28,2.8 ± 1.0,210.7 ± 190.6,75.8 ± 60.6,843,112.5 ± 17.4,69.7 ± 13.3,63.7 ± 35.7,245.9 ± 61.5
coop,agent_5,qwen3.5:9b,0.36 ± 0.15,1270.0,3412.3,10.4 ± 1.7,100%,6.2 ± 3.2,31,-,-,-,-,57.1 ± 13.9,139.1 ± 60.3,53.2 ± 37.0,249.4 ± 100.1
