experiment,agent_id,model_name,chosen action: ATTEMPT_JOB,chosen action: IDLE,chosen action: DONATE,ERROR count,jobs: easy,jobs: medium,jobs: hard
comp,agent_1,gemma4:e4b,100%,0%,-,1,1.6,10.4,18.0
comp,agent_2,nemotron-3-nano:4b,98%,2%,-,7,11.0,14.6,3.8
comp,agent_3,qwen3.5:4b,99%,1%,-,1,10.4,9.8,9.6
comp,agent_4,qwen3:8b,90%,10%,-,1,1.6,3.0,9.0
comp,agent_5,qwen3.5:9b,86%,14%,-,2,1.6,2.8,0.8
coop,agent_1,gemma4:e4b,68%,2%,29%,0,1.8,2.8,11.8
coop,agent_2,nemotron-3-nano:4b,97%,0%,3%,3,6.4,12.8,9.8
coop,agent_3,qwen3.5:4b,89%,1%,9%,0,8.8,10.0,7.0
coop,agent_4,qwen3:8b,64%,7%,10%,1,4.0,5.0,5.0
coop,agent_5,qwen3.5:9b,56%,11%,0%,6,5.2,2.8,0.0
