experiment,agent_id,model_name,gained/spent,avg reward,avg spent,rounds active,deact. rate,donations received/run,donations total,donations made/run,energy donated/run,energy/donation,energy donated total,energy vote/round,energy decide/round,energy act/round,energy total/round
comp,agent_1,gemma4:e4b,1.66 ± 0.78,5630.0,3423.8,29.4 ± 1.3,20%,-,-,-,-,-,-,43.2 ± 5.5,33.0 ± 0.5,39.5 ± 5.3,115.7 ± 9.1
comp,agent_2,nemotron-3-nano:4b,1.41 ± 0.34,4810.0,3388.6,30.0 ± 0.0,0%,-,-,-,-,-,-,44.2 ± 8.4,32.9 ± 3.1,35.9 ± 6.6,113.0 ± 13.4
comp,agent_3,qwen3.5:4b,1.34 ± 0.20,5220.0,3892.8,30.0 ± 0.0,0%,-,-,1.0,100.0,100.0,100,35.6 ± 2.8,58.5 ± 11.3,35.6 ± 6.0,129.8 ± 14.4
comp,agent_4,qwen3:8b,0.60 ± 0.45,3580.0,4387.3,15.2 ± 10.4,80%,1.0,1,-,-,-,-,130.3 ± 12.0,80.2 ± 14.1,70.8 ± 30.2,281.3 ± 27.7
comp,agent_5,qwen3.5:9b,0.51 ± 0.29,2680.0,4177.2,12.6 ± 9.6,100%,-,-,-,-,-,-,83.9 ± 20.9,139.0 ± 49.7,102.3 ± 24.2,325.3 ± 33.4
coop,agent_1,gemma4:e4b,0.87 ± 0.45,3870.0,3949.2,25.2 ± 6.6,40%,-,-,5.0 ± 2.2,1126.2 ± 617.2,232.0 ± 71.9,4505,47.2 ± 1.7,33.3 ± 2.3,72.9 ± 24.8,153.4 ± 26.2
coop,agent_2,nemotron-3-nano:4b,0.84 ± 0.44,3230.0,3590.9,27.0 ± 6.7,20%,2.0,2,1.0,0.0,0.0,0,59.4 ± 11.0,37.6 ± 10.1,34.4 ± 4.2,131.5 ± 6.1
coop,agent_3,qwen3.5:4b,0.90 ± 0.35,4000.0,4217.8,27.6 ± 5.4,20%,1.0,1,2.8 ± 1.3,550.0 ± 458.3,175.0 ± 86.6,2750,49.5 ± 9.8,54.8 ± 5.8,45.5 ± 15.2,149.7 ± 12.4
coop,agent_4,qwen3:8b,0.59 ± 0.25,4160.0,6121.8,20.4 ± 9.2,100%,3.0 ± 0.8,12,1.0 ± 0.0,100.0 ± 0.0,100.0 ± 0.0,200,139.0 ± 16.0,70.2 ± 8.7,70.4 ± 34.5,279.6 ± 46.8
coop,agent_5,qwen3.5:9b,0.51 ± 0.16,2340.0,4207.2,15.4 ± 7.3,100%,4.4 ± 3.4,22,-,-,-,-,63.6 ± 20.6,123.7 ± 41.7,71.4 ± 32.6,258.7 ± 55.3
