experiment,agent_id,model_name,gained/spent,avg reward,avg spent,rounds active,deact. rate,donations received/run,donations total,donations made/run,energy donated/run,energy/donation,energy donated total,energy vote/round,energy decide/round,energy act/round,energy total/round
comp,agent_1,gemma4:e4b,1.35 ± 0.22,5163.3,3821.4,30.0 ± 0.0,0%,-,-,-,-,-,-,47.5 ± 2.8,37.8 ± 0.6,42.1 ± 7.6,127.4 ± 7.8
comp,agent_2,nemotron-3-nano:4b,1.31 ± 0.52,4133.3,3220.4,30.0 ± 0.0,0%,-,-,-,-,-,-,43.0 ± 7.5,34.2 ± 5.4,30.1 ± 1.8,107.3 ± 13.2
comp,agent_3,qwen3.5:4b,1.26 ± 0.39,4870.0,3912.0,30.0 ± 0.0,0%,-,-,1.0,50.0,50.0,50,42.6 ± 6.0,62.6 ± 18.6,25.2 ± 6.5,130.4 ± 16.7
comp,agent_4,qwen3:8b,0.55 ± 0.19,2353.3,3828.7,10.6 ± 5.0,100%,-,-,-,-,-,-,162.0 ± 17.7,88.7 ± 10.6,99.6 ± 20.0,350.4 ± 21.4
comp,agent_5,qwen3.5:9b,0.43 ± 0.15,1220.0,2633.3,6.8 ± 2.9,100%,1.0,1,-,-,-,-,141.5 ± 47.5,151.9 ± 24.8,78.0 ± 46.1,371.4 ± 43.3
coop,agent_1,gemma4:e4b,0.84 ± 0.41,3590.0,3887.2,24.4 ± 7.7,40%,1.0,1,4.8 ± 1.8,951.0 ± 485.5,192.5 ± 41.1,4755,49.2 ± 2.9,36.7 ± 2.4,70.5 ± 15.1,156.4 ± 15.9
coop,agent_2,nemotron-3-nano:4b,1.21 ± 0.31,4780.0,4034.2,30.0 ± 0.0,0%,-,-,1.7 ± 0.6,233.3 ± 28.9,150.0 ± 43.3,700,56.0 ± 5.9,39.2 ± 13.5,39.3 ± 9.8,134.5 ± 18.4
coop,agent_3,qwen3.5:4b,0.87 ± 0.30,4230.0,4826.6,27.2 ± 6.3,20%,1.0,1,2.2 ± 1.3,537.5 ± 359.1,262.5 ± 179.7,2150,64.6 ± 9.8,68.0 ± 13.6,43.7 ± 16.8,176.2 ± 27.0
coop,agent_4,qwen3:8b,0.64 ± 0.43,4110.0,5135.4,17.4 ± 7.8,80%,4.7 ± 1.5,14,1.5 ± 1.0,97.5 ± 93.2,97.5 ± 93.2,390,116.6 ± 19.5,69.5 ± 28.6,70.7 ± 25.6,256.8 ± 69.2
coop,agent_5,qwen3.5:9b,0.38 ± 0.20,1510.0,3557.3,10.4 ± 4.2,100%,5.6 ± 2.2,28,-,-,-,-,79.7 ± 11.5,150.3 ± 43.4,42.4 ± 17.1,272.4 ± 44.7
