experiment,agent_id,model_name,chosen action: ATTEMPT_JOB,chosen action: IDLE,chosen action: DONATE,chosen action: SABOTAGE_JOB,ERROR count,jobs: easy,jobs: medium,jobs: hard
comp,agent_1,gemma4:e4b,98%,2%,0%,0%,0,1.8,10.2,17.4
comp,agent_2,nemotron-3-nano:4b,95%,5%,0%,0%,7,7.8,10.8,9.8
comp,agent_3,qwen3.5:4b,99%,0%,1%,0%,0,12.8,10.2,6.2
comp,agent_4,qwen3:8b,88%,3%,0%,8%,1,0.8,4.0,5.2
comp,agent_5,qwen3.5:9b,90%,10%,0%,0%,7,3.8,1.8,1.0
coop,agent_1,gemma4:e4b,75%,4%,20%,-,0,1.4,3.0,14.8
coop,agent_2,nemotron-3-nano:4b,93%,3%,3%,-,6,4.2,9.0,14.8
coop,agent_3,qwen3.5:4b,91%,0%,8%,-,0,10.8,7.8,7.0
coop,agent_4,qwen3:8b,68%,10%,6%,-,0,1.8,4.6,7.8
coop,agent_5,qwen3.5:9b,64%,10%,0%,-,5,5.8,1.6,1.2
