experiment,agent_id,model_name,easy,medium,hard
comp,agent_1,gemma4:e4b,70% ± 45%,50% ± 19%,24% ± 7%
comp,agent_2,nemotron-3-nano:4b,78% ± 13%,39% ± 12%,11% ± 17%
comp,agent_3,qwen3.5:4b,76% ± 18%,36% ± 29%,7% ± 14%
comp,agent_4,qwen3:8b,75% ± 50%,71% ± 21%,12% ± 20%
comp,agent_5,qwen3.5:9b,85% ± 14%,28% ± 44%,42% ± 12%
coop,agent_1,gemma4:e4b,93% ± 15%,63% ± 38%,18% ± 13%
coop,agent_2,nemotron-3-nano:4b,42% ± 27%,56% ± 7%,19% ± 5%
coop,agent_3,qwen3.5:4b,68% ± 17%,39% ± 20%,22% ± 17%
coop,agent_4,qwen3:8b,73% ± 43%,65% ± 16%,20% ± 23%
coop,agent_5,qwen3.5:9b,66% ± 12%,62% ± 48%,17% ± 29%
