experiment,agent_id,model_name,gained/spent,avg reward,avg spent,rounds active,deact. rate,donations received/run,donations total,donations made/run,energy donated/run,energy/donation,energy donated total,energy vote/round,energy decide/round,energy act/round,energy total/round
comp,agent_1,gemma4:e4b,1.48 ± 0.43,5226.7,3527.8,30.0 ± 0.0,0%,-,-,-,-,-,-,43.0 ± 1.5,33.3 ± 1.8,41.3 ± 2.2,117.6 ± 3.5
comp,agent_2,nemotron-3-nano:4b,1.16 ± 0.42,3743.3,3306.5,30.0 ± 0.0,0%,-,-,-,-,-,-,50.3 ± 7.2,32.5 ± 9.0,27.5 ± 4.6,110.2 ± 14.2
comp,agent_3,qwen3.5:4b,1.29 ± 0.24,4236.7,3332.6,30.0 ± 0.0,0%,-,-,-,-,-,-,41.0 ± 5.3,41.9 ± 5.8,28.2 ± 7.4,111.1 ± 13.0
comp,agent_4,qwen3:8b,0.39 ± 0.33,1780.0,3237.5,9.2 ± 5.5,100%,-,-,-,-,-,-,136.9 ± 6.6,93.1 ± 26.2,96.6 ± 33.1,326.6 ± 46.6
comp,agent_5,qwen3.5:9b,0.46 ± 0.26,1533.3,2905.5,7.2 ± 3.1,100%,-,-,-,-,-,-,129.9 ± 53.7,201.2 ± 49.6,72.8 ± 31.6,404.0 ± 94.1
coop,agent_1,gemma4:e4b,0.67 ± 0.33,2800.0,3724.6,23.8 ± 6.1,60%,1.3 ± 0.6,4,5.4 ± 2.7,994.4 ± 470.5,201.9 ± 97.1,4972,44.5 ± 2.7,33.9 ± 3.0,71.4 ± 19.1,149.8 ± 22.2
coop,agent_2,nemotron-3-nano:4b,1.27 ± 0.29,4460.0,3521.7,30.0 ± 0.0,0%,-,-,1.0 ± 0.0,137.8 ± 94.2,137.8 ± 94.2,551,53.6 ± 11.4,31.5 ± 7.0,32.3 ± 6.1,117.4 ± 18.9
coop,agent_3,qwen3.5:4b,1.28 ± 0.45,5900.0,4747.3,30.0 ± 0.0,0%,-,-,4.0 ± 1.6,780.0 ± 477.8,192.0 ± 78.1,3900,59.6 ± 5.3,42.0 ± 6.6,56.7 ± 17.9,158.2 ± 19.0
coop,agent_4,qwen3:8b,0.29 ± 0.16,1050.0,3387.7,14.0 ± 2.5,100%,6.2 ± 3.8,31,2.0 ± 1.2,184.9 ± 173.8,78.3 ± 56.7,740,108.8 ± 21.6,56.3 ± 13.8,50.6 ± 15.8,215.8 ± 37.6
coop,agent_5,qwen3.5:9b,0.33 ± 0.23,1230.0,3330.9,9.8 ± 2.8,100%,5.4 ± 1.8,27,1.0 ± 0.0,83.3 ± 76.4,83.3 ± 76.4,250,101.2 ± 25.2,122.7 ± 34.1,38.6 ± 19.8,262.5 ± 38.3
