experiment,agent_id,model_name,chosen action: ATTEMPT_JOB,chosen action: IDLE,chosen action: DONATE,ERROR count,jobs: easy,jobs: medium,jobs: hard
comp,agent_1,gemma4:e4b,98%,2%,-,0,2.6,8.8,18.0
comp,agent_2,nemotron-3-nano:4b,98%,2%,-,10,8.4,14.6,6.4
comp,agent_3,qwen3.5:4b,100%,0%,-,0,13.6,13.2,3.2
comp,agent_4,qwen3:8b,85%,15%,-,0,1.2,1.8,5.6
comp,agent_5,qwen3.5:9b,100%,0%,-,5,4.2,2.2,1.2
coop,agent_1,gemma4:e4b,69%,4%,23%,0,2.4,8.6,6.4
coop,agent_2,nemotron-3-nano:4b,94%,3%,3%,7,3.0,9.4,15.8
coop,agent_3,qwen3.5:4b,87%,0%,13%,0,7.8,9.6,8.6
coop,agent_4,qwen3:8b,49%,12%,10%,1,3.0,3.0,1.6
coop,agent_5,qwen3.5:9b,51%,13%,5%,5,4.0,1.6,1.0
