experiment,agent_id,model_name,easy,medium,hard
comp,agent_1,gemma4:e4b,95% ± 8%,39% ± 26%,25% ± 7%
comp,agent_2,nemotron-3-nano:4b,53% ± 23%,34% ± 12%,14% ± 13%
comp,agent_3,qwen3.5:4b,76% ± 8%,41% ± 6%,4% ± 9%
comp,agent_4,qwen3:8b,80% ± 45%,80% ± 35%,13% ± 19%
comp,agent_5,qwen3.5:9b,87% ± 22%,47% ± 46%,33% ± 47%
coop,agent_1,gemma4:e4b,50% ± 47%,39% ± 16%,17% ± 18%
coop,agent_2,nemotron-3-nano:4b,63% ± 29%,35% ± 19%,23% ± 12%
coop,agent_3,qwen3.5:4b,82% ± 12%,50% ± 7%,37% ± 19%
coop,agent_4,qwen3:8b,79% ± 25%,33% ± 31%,8% ± 17%
coop,agent_5,qwen3.5:9b,55% ± 8%,92% ± 12%,17% ± 24%
