experiment,agent_id,model_name,gained/spent,avg reward,avg spent,rounds active,deact. rate,donations received/run,donations total,donations made/run,energy donated/run,energy/donation,energy donated total,energy vote/round,energy decide/round,energy act/round,energy total/round
comp,agent_1,gemma4:e4b,1.78 ± 0.29,4610.0,2583.8,30.0 ± 0.0,0%,-,-,-,-,-,-,0.0 ± 0.0,42.7 ± 1.7,43.4 ± 4.0,86.1 ± 3.4
comp,agent_2,nemotron-3-nano:4b,2.16 ± 0.84,4240.0,2044.3,30.0 ± 0.0,0%,-,-,1.0,100.0,100.0,100,0.0 ± 0.0,36.2 ± 7.4,32.0 ± 10.8,68.1 ± 14.5
comp,agent_3,qwen3.5:4b,1.27 ± 0.27,4893.3,3937.0,30.0 ± 0.0,0%,-,-,-,-,-,-,0.0 ± 0.0,100.8 ± 18.3,30.4 ± 8.9,131.2 ± 22.2
comp,agent_4,qwen3:8b,0.94 ± 0.23,5580.0,5787.5,27.2 ± 6.3,20%,-,-,-,-,-,-,0.0 ± 0.0,107.5 ± 12.5,104.4 ± 14.2,211.9 ± 9.5
comp,agent_5,qwen3.5:9b,0.52 ± 0.33,2476.7,3743.2,15.6 ± 9.0,80%,1.0,1,-,-,-,-,0.0 ± 0.0,151.6 ± 63.1,70.9 ± 35.2,222.5 ± 42.4
coop,agent_1,gemma4:e4b,1.05 ± 0.27,4146.7,4047.7,29.6 ± 0.9,20%,-,-,4.0 ± 1.6,1794.8 ± 970.0,435.0 ± 100.0,8974,0.0 ± 0.0,41.0 ± 0.9,95.0 ± 28.4,136.0 ± 28.3
coop,agent_2,nemotron-3-nano:4b,1.75 ± 0.34,3393.3,1945.4,30.0 ± 0.0,0%,-,-,1.0 ± 0.0,100.0 ± 0.0,100.0 ± 0.0,200,0.0 ± 0.0,32.4 ± 4.2,32.5 ± 10.4,64.8 ± 9.6
coop,agent_3,qwen3.5:4b,0.98 ± 0.26,4250.0,4358.2,29.6 ± 0.9,20%,2.0,2,1.5 ± 0.7,225.0 ± 35.4,175.0 ± 106.1,450,0.0 ± 0.0,115.4 ± 19.2,29.9 ± 8.8,145.3 ± 27.8
coop,agent_4,qwen3:8b,1.26 ± 0.32,8343.3,6670.6,30.0 ± 0.0,0%,-,-,1.0 ± 0.0,300.0 ± 282.8,300.0 ± 282.8,600,0.0 ± 0.0,111.0 ± 11.1,111.4 ± 18.1,222.4 ± 15.8
coop,agent_5,qwen3.5:9b,0.50 ± 0.16,3166.7,6412.8,23.6 ± 3.4,100%,5.0 ± 2.7,25,-,-,-,-,0.0 ± 0.0,174.7 ± 13.6,59.6 ± 16.8,234.2 ± 23.3
