experiment,agent_id,model_name,chosen action: ATTEMPT_JOB,chosen action: IDLE,chosen action: DONATE,ERROR count,jobs: easy,jobs: medium,jobs: hard
comp,agent_1,gemma4:e4b,100%,0%,0%,0,3.8,16.2,10.0
comp,agent_2,nemotron-3-nano:4b,98%,1%,1%,2,14.6,8.6,6.2
comp,agent_3,qwen3.5:4b,100%,0%,0%,0,18.8,10.6,0.6
comp,agent_4,qwen3:8b,100%,0%,0%,0,2.4,15.8,9.2
comp,agent_5,qwen3.5:9b,93%,6%,0%,4,10.8,4.2,0.4
coop,agent_1,gemma4:e4b,87%,0%,13%,0,4.0,10.8,11.0
coop,agent_2,nemotron-3-nano:4b,99%,0%,1%,2,12.8,11.2,5.6
coop,agent_3,qwen3.5:4b,97%,0%,2%,0,19.6,8.0,1.6
coop,agent_4,qwen3:8b,99%,0%,1%,0,1.4,15.6,12.6
coop,agent_5,qwen3.5:9b,84%,5%,0%,1,18.8,4.0,0.0
