experiment,agent_id,model_name,easy,medium,hard
comp,agent_1,gemma4:e4b,89% ± 10%,45% ± 13%,9% ± 10%
comp,agent_2,nemotron-3-nano:4b,58% ± 11%,33% ± 31%,34% ± 26%
comp,agent_3,qwen3.5:4b,74% ± 13%,53% ± 13%,25% ± 35%
comp,agent_4,qwen3:8b,100% ± 0%,51% ± 21%,21% ± 16%
comp,agent_5,qwen3.5:9b,69% ± 24%,34% ± 35%,0% ± 0%
coop,agent_1,gemma4:e4b,70% ± 18%,51% ± 15%,16% ± 11%
coop,agent_2,nemotron-3-nano:4b,57% ± 10%,36% ± 17%,16% ± 15%
coop,agent_3,qwen3.5:4b,76% ± 19%,53% ± 38%,0% ± 0%
coop,agent_4,qwen3:8b,100% ± 0%,65% ± 9%,32% ± 16%
coop,agent_5,qwen3.5:9b,72% ± 16%,68% ± 29%,-
